Wavelength FWHM_det FWHM_over Res_det Res_over
2.0 2.142 1.143 930.242 1744.281
2.1 2.133 1.200 981.004 1744.033
2.2 2.127 1.257 1030.683 1743.834
2.3 2.124 1.314 1079.081 1743.674
2.4 2.124 1.372 1126.020 1743.548
2.5 2.127 1.429 1171.336 1743.451
2.6 2.133 1.486 1214.889 1743.377
2.7 2.141 1.543 1256.556 1743.322
2.8 2.152 1.601 1296.238 1743.285
2.9 2.166 1.658 1333.857 1743.260
3.0 2.183 1.715 1369.357 1743.247
3.1 2.202 1.772 1402.704 1743.242
3.2 2.224 1.829 1433.883 1743.244
3.3 2.248 1.886 1462.898 1743.251
3.4 2.274 1.944 1489.769 1743.262
3.5 2.303 2.001 1514.534 1743.275
3.6 2.334 2.058 1537.243 1743.290
3.7 2.367 2.115 1557.957 1743.304
3.8 2.402 2.172 1576.748 1743.318
3.9 2.439 2.229 1593.696 1743.330
4.0 2.477 2.286 1608.885 1743.340
4.1 2.518 2.344 1622.408 1743.346
4.2 2.561 2.401 1634.356 1743.349
4.3 2.605 2.458 1644.827 1743.348
4.4 2.651 2.515 1653.914 1743.342
4.5 2.699 2.572 1661.716 1743.330
4.6 2.748 2.629 1668.325 1743.313
4.7 2.798 2.687 1673.834 1743.290
4.8 2.850 2.744 1678.334 1743.261
4.9 2.903 2.801 1681.911 1743.225
5.0 2.958 2.858 1684.650 1743.181
5.1 3.013 2.915 1686.629 1743.131
5.2 3.070 2.973 1687.926 1743.073
5.3 3.128 3.030 1688.614 1743.007
5.4 3.186 3.087 1688.759 1742.933
5.5 3.246 3.145 1688.428 1742.852
5.6 3.306 3.202 1687.680 1742.761
5.7 3.368 3.259 1686.573 1742.662
5.8 3.430 3.317 1685.160 1742.555
5.9 3.492 3.374 1683.491 1742.438
6.0 3.555 3.432 1681.613 1742.313
