Wavelength FWHM_det FWHM_over Res_det Res_over
2.0 2.141 1.167 942.078 1728.907
2.1 2.139 1.225 990.106 1729.369
2.2 2.140 1.283 1037.089 1729.743
2.3 2.142 1.341 1082.883 1730.042
2.4 2.147 1.399 1127.355 1730.279
2.5 2.155 1.457 1170.384 1730.464
2.6 2.164 1.515 1211.859 1730.604
2.7 2.176 1.574 1251.684 1730.708
2.8 2.190 1.632 1289.775 1730.781
2.9 2.206 1.690 1326.063 1730.829
3.0 2.224 1.748 1360.492 1730.857
3.1 2.245 1.806 1393.021 1730.868
3.2 2.267 1.865 1423.622 1730.866
3.3 2.292 1.923 1452.279 1730.854
3.4 2.319 1.981 1478.990 1730.836
3.5 2.348 2.040 1503.762 1730.812
3.6 2.379 2.098 1526.615 1730.786
3.7 2.411 2.156 1547.578 1730.760
3.8 2.446 2.215 1566.689 1730.734
3.9 2.483 2.273 1583.992 1730.712
4.0 2.522 2.331 1599.540 1730.693
4.1 2.563 2.389 1613.389 1730.680
4.2 2.606 2.448 1625.601 1730.673
4.3 2.651 2.506 1636.242 1730.674
4.4 2.697 2.564 1645.380 1730.683
4.5 2.746 2.623 1653.085 1730.702
4.6 2.796 2.681 1659.428 1730.731
4.7 2.848 2.739 1664.482 1730.770
4.8 2.902 2.797 1668.318 1730.821
4.9 2.958 2.855 1671.008 1730.884
5.0 3.015 2.914 1672.621 1730.960
5.1 3.074 2.972 1673.227 1731.049
5.2 3.135 3.030 1672.893 1731.151
5.3 3.198 3.088 1671.684 1731.268
5.4 3.262 3.146 1669.662 1731.399
5.5 3.328 3.204 1666.889 1731.545
5.6 3.396 3.262 1663.422 1731.706
5.7 3.465 3.320 1659.317 1731.882
5.8 3.536 3.378 1654.626 1732.074
5.9 3.608 3.435 1649.399 1732.283
6.0 3.682 3.493 1643.685 1732.508
