Arcsec,Contr_0nm,Sen_0nm,Contr_2nm,Sen_2nm,Contr_5nm,Sen_5nm,Contr_10nm,Sen_10nm
1.5250,2.603E-07,16.5953,3.659E-07,16.2253,7.418E-07,15.4582,1.458E-06,14.7247
1.5880,2.304E-07,16.7274,3.233E-07,16.3598,6.372E-07,15.6231,1.215E-06,14.9224
1.6510,2.003E-07,16.8797,2.873E-07,16.4880,5.505E-07,15.7819,9.940E-07,15.1403
1.7140,1.761E-07,17.0195,2.459E-07,16.6569,4.557E-07,15.9870,8.023E-07,15.3730
1.7770,1.532E-07,17.1703,2.077E-07,16.8401,3.631E-07,16.2338,6.445E-07,15.6107
1.8400,1.345E-07,17.3118,1.779E-07,17.0084,2.908E-07,16.4749,5.204E-07,15.8430
1.9030,1.239E-07,17.4016,1.498E-07,17.1951,2.374E-07,16.6952,4.261E-07,16.0600
1.9660,1.182E-07,17.4524,1.295E-07,17.3527,2.027E-07,16.8667,3.567E-07,16.2530
2.0290,1.107E-07,17.5230,1.177E-07,17.4569,1.806E-07,16.9918,3.113E-07,16.4007
2.0920,1.020E-07,17.6119,1.090E-07,17.5399,1.663E-07,17.0818,2.853E-07,16.4956
2.1550,9.719E-08,17.6647,1.048E-07,17.5826,1.561E-07,17.1504,2.673E-07,16.5663
2.2180,9.458E-08,17.6943,1.041E-07,17.5901,1.458E-07,17.2246,2.550E-07,16.6175
2.2810,9.281E-08,17.7148,1.024E-07,17.6080,1.401E-07,17.2678,2.456E-07,16.6583
2.3440,9.011E-08,17.7468,9.774E-08,17.6587,1.374E-07,17.2890,2.353E-07,16.7047
2.4070,8.447E-08,17.8171,9.130E-08,17.7327,1.327E-07,17.3264,2.258E-07,16.7497
2.4700,8.032E-08,17.8718,8.683E-08,17.7872,1.276E-07,17.3692,2.185E-07,16.7850
2.5330,7.971E-08,17.8800,8.707E-08,17.7841,1.217E-07,17.4210,2.077E-07,16.8401
2.5960,8.050E-08,17.8693,8.770E-08,17.7763,1.118E-07,17.5128,1.903E-07,16.9354
