Arcsec Contr_0nm Sen_0nm Contr_2nm Sen_2nm Contr_5nm Sen_5nm Contr_10nm Sen_10nm
1.5250 3.487E-07 16.2792 6.644E-07 15.5793 1.352E-06 14.8077 2.672E-06 14.0682
1.5880 3.055E-07 16.4229 5.716E-07 15.7426 1.163E-06 14.9709 2.300E-06 14.2310
1.6510 2.685E-07 16.5631 5.094E-07 15.8675 1.007E-06 15.1275 1.966E-06 14.4014
1.7140 2.474E-07 16.6516 4.479E-07 16.0073 8.595E-07 15.2997 1.669E-06 14.5794
1.7770 2.405E-07 16.6825 3.895E-07 16.1591 7.150E-07 15.4995 1.410E-06 14.7624
1.8400 2.315E-07 16.7241 3.457E-07 16.2886 6.084E-07 15.6749 1.199E-06 14.9378
1.9030 2.153E-07 16.8027 3.088E-07 16.4109 5.430E-07 15.7983 1.024E-06 15.1091
1.9660 1.986E-07 16.8903 2.699E-07 16.5571 4.799E-07 15.9324 8.664E-07 15.2910
2.0290 1.787E-07 17.0051 2.329E-07 16.7173 3.975E-07 16.1369 7.156E-07 15.4986
2.0920 1.582E-07 17.1372 2.024E-07 16.8696 3.162E-07 16.3855 5.855E-07 15.7165
2.1550 1.423E-07 17.2522 1.787E-07 17.0049 2.640E-07 16.5813 4.899E-07 15.9101
2.2180 1.284E-07 17.3635 1.556E-07 17.1549 2.300E-07 16.7309 4.151E-07 16.0898
2.2810 1.162E-07 17.4720 1.325E-07 17.3296 2.024E-07 16.8696 3.531E-07 16.2655
2.3440 1.051E-07 17.5812 1.194E-07 17.4424 1.783E-07 17.0072 3.055E-07 16.4227
2.4070 9.472E-08 17.6942 1.125E-07 17.5077 1.591E-07 17.1313 2.693E-07 16.5598
2.4700 8.675E-08 17.7896 1.063E-07 17.5690 1.483E-07 17.2077 2.438E-07 16.6676
2.5330 8.132E-08 17.8598 1.006E-07 17.6293 1.423E-07 17.2520 2.262E-07 16.7489
2.5960 7.844E-08 17.8989 9.453E-08 17.6964 1.352E-07 17.3077 2.129E-07 16.8150
2.6590 7.891E-08 17.8925 8.995E-08 17.7503 1.276E-07 17.3705 2.053E-07 16.8541
2.7220 8.028E-08 17.8737 8.904E-08 17.7614 1.245E-07 17.3977 2.047E-07 16.8573
2.7850 8.114E-08 17.8622 9.084E-08 17.7396 1.255E-07 17.3883 2.025E-07 16.8690
2.8480 8.076E-08 17.8673 9.116E-08 17.7357 1.230E-07 17.4101 1.978E-07 16.8945
2.9110 7.789E-08 17.9066 8.882E-08 17.7641 1.156E-07 17.4778 1.937E-07 16.9177
2.9740 7.408E-08 17.9610 8.632E-08 17.7950 1.108E-07 17.5240 1.893E-07 16.9426
3.0370 7.207E-08 17.9909 8.367E-08 17.8288 1.103E-07 17.5293 1.849E-07 16.9679
3.1000 7.156E-08 17.9987 7.987E-08 17.8793 1.075E-07 17.5564 1.767E-07 17.0171
3.1630 7.057E-08 18.0138 7.487E-08 17.9496 1.002E-07 17.6326 1.619E-07 17.1120
3.2260 6.888E-08 18.0401 7.092E-08 18.0083 9.275E-08 17.7170 1.454E-07 17.2289
3.2890 6.750E-08 18.0620 6.904E-08 18.0375 8.763E-08 17.7786 1.349E-07 17.3103
3.3520 6.505E-08 18.1021 6.671E-08 18.0748 8.392E-08 17.8257 1.290E-07 17.3591
3.4150 6.197E-08 18.1548 6.302E-08 18.1366 8.026E-08 17.8740 1.212E-07 17.4265
3.4780 5.971E-08 18.1951 6.045E-08 18.1818 7.699E-08 17.9191 1.114E-07 17.5184
3.5410 5.786E-08 18.2294 5.894E-08 18.2093 7.387E-08 17.9642 1.045E-07 17.5873
3.6040 5.629E-08 18.2592 5.797E-08 18.2272 7.044E-08 18.0157 9.836E-08 17.6532
3.6670 5.330E-08 18.3184 5.606E-08 18.2636 6.554E-08 18.0940 8.956E-08 17.7551
3.7300 4.983E-08 18.3917 5.245E-08 18.3359 6.026E-08 18.1851 8.076E-08 17.8673
3.7930 4.783E-08 18.4360 4.910E-08 18.4075 5.642E-08 18.2567 7.489E-08 17.9492
3.8560 4.693E-08 18.4567 4.754E-08 18.4427 5.343E-08 18.3158 7.235E-08 17.9867
3.9190 4.591E-08 18.4805 4.711E-08 18.4526 5.228E-08 18.3395 7.046E-08 18.0154
3.9820 4.437E-08 18.5175 4.639E-08 18.4692 5.298E-08 18.3250 6.762E-08 18.0601
4.0450 4.258E-08 18.5622 4.508E-08 18.5002 5.210E-08 18.3432 6.578E-08 18.0901
4.1080 4.079E-08 18.6090 4.334E-08 18.5432 4.885E-08 18.4132 6.429E-08 18.1150
4.1710 3.952E-08 18.6431 4.124E-08 18.5969 4.666E-08 18.4630 6.411E-08 18.1181
4.2340 3.813E-08 18.6821 4.028E-08 18.6227 4.609E-08 18.4763 6.437E-08 18.1136
4.2970 3.768E-08 18.6949 4.001E-08 18.6298 4.514E-08 18.4989 6.217E-08 18.1513
4.3600 3.834E-08 18.6761 3.943E-08 18.6457 4.404E-08 18.5256 5.949E-08 18.1992
4.4230 3.777E-08 18.6923 3.882E-08 18.6625 4.338E-08 18.5419 5.816E-08 18.2237
4.4860 3.676E-08 18.7219 3.823E-08 18.6792 4.345E-08 18.5402 5.763E-08 18.2337
4.5490 3.626E-08 18.7367 3.768E-08 18.6951 4.265E-08 18.5605 5.680E-08 18.2495
4.6120 3.535E-08 18.7643 3.746E-08 18.7014 4.115E-08 18.5994 5.515E-08 18.2814
4.6750 3.464E-08 18.7865 3.711E-08 18.7116 4.045E-08 18.6180 5.244E-08 18.3361
4.7380 3.482E-08 18.7809 3.611E-08 18.7413 3.980E-08 18.6355 4.925E-08 18.4043
4.8010 3.506E-08 18.7733 3.455E-08 18.7891 3.899E-08 18.6578 4.637E-08 18.4698
4.8640 3.483E-08 18.7805 3.343E-08 18.8250 3.847E-08 18.6725 4.461E-08 18.5118
4.9270 3.424E-08 18.7989 3.307E-08 18.8367 3.782E-08 18.6910 4.409E-08 18.5245
4.9900 3.332E-08 18.8284 3.265E-08 18.8506 3.619E-08 18.7390 4.326E-08 18.5451
5.0530 3.193E-08 18.8749 3.216E-08 18.8669 3.450E-08 18.7906 4.074E-08 18.6103
5.1160 3.020E-08 18.9354 3.117E-08 18.9011 3.386E-08 18.8111 3.770E-08 18.6946
5.1790 2.870E-08 18.9907 2.944E-08 18.9631 3.302E-08 18.8384 3.626E-08 18.7366
5.2420 2.814E-08 19.0119 2.831E-08 19.0053 3.186E-08 18.8771 3.642E-08 18.7320
5.3050 2.834E-08 19.0044 2.836E-08 19.0037 3.129E-08 18.8967 3.632E-08 18.7350
5.3680 2.831E-08 19.0054 2.858E-08 18.9951 3.090E-08 18.9103 3.523E-08 18.7681
5.4310 2.785E-08 19.0230 2.822E-08 19.0089 3.006E-08 18.9403 3.427E-08 18.7981
5.4940 2.763E-08 19.0319 2.774E-08 19.0275 2.921E-08 18.9714 3.341E-08 18.8257
5.5570 2.752E-08 19.0362 2.745E-08 19.0391 2.821E-08 19.0094 3.216E-08 18.8671
5.6200 2.691E-08 19.0607 2.697E-08 19.0581 2.714E-08 19.0512 3.115E-08 18.9015
5.6830 2.603E-08 19.0967 2.684E-08 19.0632 2.663E-08 19.0720 3.047E-08 18.9256
5.7460 2.551E-08 19.1187 2.688E-08 19.0617 2.644E-08 19.0798 3.020E-08 18.9353
5.8090 2.570E-08 19.1107 2.662E-08 19.0724 2.625E-08 19.0874 3.014E-08 18.9373
5.8720 2.593E-08 19.1007 2.612E-08 19.0928 2.579E-08 19.1067 2.990E-08 18.9462
5.9350 2.531E-08 19.1272 2.542E-08 19.1225 2.537E-08 19.1244 2.952E-08 18.9601
5.9980 2.454E-08 19.1604 2.492E-08 19.1441 2.567E-08 19.1119 2.922E-08 18.9711
6.0610 2.417E-08 19.1770 2.445E-08 19.1646 2.612E-08 19.0928 2.916E-08 18.9732
6.1240 2.378E-08 19.1950 2.419E-08 19.1761 2.612E-08 19.0928 2.873E-08 18.9894
6.1870 2.349E-08 19.2082 2.456E-08 19.1597 2.580E-08 19.1061 2.802E-08 19.0167
6.2500 2.371E-08 19.1981 2.470E-08 19.1535 2.505E-08 19.1384 2.745E-08 19.0389
6.3130 2.418E-08 19.1766 2.408E-08 19.1813 2.410E-08 19.1805 2.674E-08 19.0675
6.3760 2.396E-08 19.1865 2.342E-08 19.2113 2.336E-08 19.2143 2.601E-08 19.0974
6.4390 2.321E-08 19.2212 2.316E-08 19.2237 2.296E-08 19.2331 2.562E-08 19.1138
6.5020 2.278E-08 19.2415 2.299E-08 19.2314 2.276E-08 19.2422 2.521E-08 19.1316
6.5650 2.242E-08 19.2589 2.230E-08 19.2646 2.276E-08 19.2423 2.482E-08 19.1482
6.6280 2.170E-08 19.2944 2.141E-08 19.3085 2.260E-08 19.2502 2.438E-08 19.1677
6.6910 2.125E-08 19.3169 2.082E-08 19.3390 2.219E-08 19.2698 2.375E-08 19.1962
6.7540 2.120E-08 19.3195 2.049E-08 19.3564 2.190E-08 19.2843 2.339E-08 19.2129
6.8170 2.090E-08 19.3351 2.071E-08 19.3451 2.213E-08 19.2728 2.316E-08 19.2233
6.8800 2.062E-08 19.3497 2.110E-08 19.3245 2.238E-08 19.2608 2.271E-08 19.2449
6.9430 2.058E-08 19.3516 2.083E-08 19.3387 2.186E-08 19.2861 2.230E-08 19.2646
7.0060 2.016E-08 19.3742 2.008E-08 19.3783 2.087E-08 19.3366 2.200E-08 19.2790
7.0690 1.969E-08 19.3995 1.968E-08 19.4002 2.010E-08 19.3775 2.177E-08 19.2906
7.1320 1.982E-08 19.3925 1.971E-08 19.3986 1.980E-08 19.3936 2.131E-08 19.3140
7.1950 1.994E-08 19.3859 1.982E-08 19.3927 2.000E-08 19.3830 2.058E-08 19.3519
7.2580 1.982E-08 19.3927 1.981E-08 19.3928 2.025E-08 19.3691 2.029E-08 19.3673
7.3210 1.978E-08 19.3947 1.959E-08 19.4053 2.000E-08 19.3826 2.047E-08 19.3576
7.3840 1.967E-08 19.4008 1.921E-08 19.4266 1.964E-08 19.4023 2.069E-08 19.3461
7.4470 1.957E-08 19.4061 1.883E-08 19.4479 1.951E-08 19.4096 2.091E-08 19.3347
7.5100 1.930E-08 19.4212 1.863E-08 19.4599 1.933E-08 19.4199 2.086E-08 19.3370
7.5730 1.882E-08 19.4488 1.872E-08 19.4544 1.905E-08 19.4353 2.080E-08 19.3400
7.6360 1.854E-08 19.4652 1.890E-08 19.4441 1.869E-08 19.4561 2.062E-08 19.3498
7.6990 1.836E-08 19.4754 1.893E-08 19.4425 1.847E-08 19.4693 2.017E-08 19.3735
7.7620 1.821E-08 19.4843 1.863E-08 19.4599 1.856E-08 19.4636 1.973E-08 19.3973
7.8250 1.810E-08 19.4908 1.822E-08 19.4840 1.878E-08 19.4512 1.934E-08 19.4192
7.8880 1.802E-08 19.4960 1.809E-08 19.4914 1.883E-08 19.4482 1.921E-08 19.4266
7.9510 1.798E-08 19.4982 1.822E-08 19.4840 1.889E-08 19.4446 1.939E-08 19.4164
