Arcsec,Contr_0nm,Sen_0nm,Contr_2nm,Sen_2nm,Contr_5nm,Sen_5nm,Contr_10nm,Sen_10nm
1.5435,7.322E-05,21.3619,6.962E-05,21.4167,7.719E-05,21.3045,7.437E-05,21.3451
1.6065,7.055E-05,21.4023,6.527E-05,21.4866,7.545E-05,21.3293,7.354E-05,21.3572
1.6695,6.909E-05,21.4249,6.356E-05,21.5156,7.009E-05,21.4093,7.248E-05,21.3729
1.7325,6.926E-05,21.4223,6.383E-05,21.5109,6.492E-05,21.4925,7.141E-05,21.3891
1.7955,6.880E-05,21.4295,6.566E-05,21.4803,6.359E-05,21.5150,6.989E-05,21.4124
1.8585,6.752E-05,21.4500,6.758E-05,21.4489,6.646E-05,21.4671,6.730E-05,21.4534
1.9215,6.703E-05,21.4577,6.771E-05,21.4469,6.824E-05,21.4384,6.472E-05,21.4959
1.9845,6.639E-05,21.4683,6.757E-05,21.4491,6.583E-05,21.4774,6.355E-05,21.5157
2.0475,6.588E-05,21.4766,6.674E-05,21.4625,6.305E-05,21.5242,6.290E-05,21.5269
2.1105,6.479E-05,21.4947,6.533E-05,21.4857,6.249E-05,21.5340,6.137E-05,21.5537
2.1735,6.193E-05,21.5437,6.568E-05,21.4799,6.243E-05,21.5350,6.046E-05,21.5697
2.2365,5.913E-05,21.5940,6.692E-05,21.4596,6.173E-05,21.5472,6.132E-05,21.5545
2.2995,6.052E-05,21.5687,6.711E-05,21.4566,6.130E-05,21.5548,6.218E-05,21.5393
2.3625,6.377E-05,21.5120,6.582E-05,21.4777,6.159E-05,21.5497,6.177E-05,21.5466
2.4255,6.425E-05,21.5039,6.370E-05,21.5131,6.220E-05,21.5391,6.096E-05,21.5610
2.4885,6.149E-05,21.5514,6.123E-05,21.5561,6.158E-05,21.5499,6.037E-05,21.5715
2.5515,5.952E-05,21.5868,6.015E-05,21.5754,6.012E-05,21.5759,6.015E-05,21.5754
2.6145,6.012E-05,21.5760,6.011E-05,21.5762,6.028E-05,21.5731,6.113E-05,21.5578
2.6775,6.200E-05,21.5426,6.055E-05,21.5682,6.157E-05,21.5501,6.259E-05,21.5322
2.7405,6.313E-05,21.5229,6.203E-05,21.5420,6.206E-05,21.5414,6.301E-05,21.5250
2.8035,6.329E-05,21.5202,6.231E-05,21.5370,6.305E-05,21.5242,6.203E-05,21.5419
2.8665,6.289E-05,21.5270,6.052E-05,21.5688,6.418E-05,21.5049,6.093E-05,21.5615
2.9295,6.114E-05,21.5576,5.928E-05,21.5911,6.298E-05,21.5255,6.141E-05,21.5529
2.9925,6.029E-05,21.5728,5.982E-05,21.5815,6.178E-05,21.5463,6.319E-05,21.5219
3.0555,6.173E-05,21.5472,6.056E-05,21.5680,6.195E-05,21.5434,6.382E-05,21.5111
3.1185,6.158E-05,21.5499,6.094E-05,21.5613,6.231E-05,21.5370,6.347E-05,21.5170
3.1815,5.970E-05,21.5836,6.097E-05,21.5607,6.261E-05,21.5319,6.304E-05,21.5244
