Arcsec,Contr_0nm,Sen_0nm,Contr_2nm,Sen_2nm,Contr_5nm,Sen_5nm,Contr_10nm,Sen_10nm
1.5435,7.211E-05,21.3276,7.013E-05,21.3579,6.867E-05,21.3807,7.123E-05,21.3409
1.6065,7.055E-05,21.3513,6.891E-05,21.3769,6.650E-05,21.4155,6.910E-05,21.3739
1.6695,6.971E-05,21.3643,7.149E-05,21.3369,6.642E-05,21.4168,7.012E-05,21.3580
1.7325,7.089E-05,21.3461,7.322E-05,21.3109,6.736E-05,21.4015,7.003E-05,21.3594
1.7955,7.059E-05,21.3508,7.217E-05,21.3266,6.930E-05,21.3707,6.954E-05,21.3670
1.8585,6.968E-05,21.3648,7.116E-05,21.3419,7.068E-05,21.3493,6.951E-05,21.3675
1.9215,7.088E-05,21.3463,7.008E-05,21.3586,6.977E-05,21.3634,6.901E-05,21.3753
1.9845,6.936E-05,21.3699,6.906E-05,21.3746,6.968E-05,21.3648,6.974E-05,21.3639
2.0475,6.676E-05,21.4114,6.853E-05,21.3828,7.015E-05,21.3575,7.023E-05,21.3563
2.1105,6.591E-05,21.4251,6.781E-05,21.3944,6.838E-05,21.3853,6.837E-05,21.3855
2.1735,6.663E-05,21.4134,6.732E-05,21.4022,6.600E-05,21.4237,6.659E-05,21.4140
2.2365,6.854E-05,21.3828,6.791E-05,21.3928,6.638E-05,21.4175,6.602E-05,21.4234
2.2995,6.882E-05,21.3783,6.814E-05,21.3891,6.800E-05,21.3913,6.567E-05,21.4291
2.3625,6.663E-05,21.4134,6.815E-05,21.3890,6.827E-05,21.3869,6.473E-05,21.4448
2.4255,6.549E-05,21.4321,6.813E-05,21.3893,6.738E-05,21.4012,6.330E-05,21.4690
2.4885,6.633E-05,21.4184,6.746E-05,21.4000,6.643E-05,21.4167,6.240E-05,21.4845
2.5515,6.625E-05,21.4196,6.583E-05,21.4265,6.609E-05,21.4223,6.248E-05,21.4832
2.6145,6.597E-05,21.4241,6.387E-05,21.4593,6.582E-05,21.4267,6.347E-05,21.4661
2.6775,6.680E-05,21.4106,6.289E-05,21.4762,6.534E-05,21.4346,6.473E-05,21.4448
2.7405,6.626E-05,21.4194,6.374E-05,21.4615,6.487E-05,21.4425,6.618E-05,21.4208
2.8035,6.433E-05,21.4515,6.532E-05,21.4349,6.439E-05,21.4506,6.631E-05,21.4187
2.8665,6.380E-05,21.4606,6.581E-05,21.4268,6.381E-05,21.4603,6.577E-05,21.4276
2.9295,6.375E-05,21.4614,6.491E-05,21.4418,6.391E-05,21.4587,6.627E-05,21.4192
2.9925,6.290E-05,21.4760,6.418E-05,21.4541,6.490E-05,21.4420,6.657E-05,21.4143
3.0555,6.237E-05,21.4852,6.482E-05,21.4433,6.535E-05,21.4344,6.493E-05,21.4414
3.1185,6.342E-05,21.4670,6.552E-05,21.4316,6.482E-05,21.4433,6.363E-05,21.4635
3.1815,6.409E-05,21.4556,6.542E-05,21.4332,6.430E-05,21.4520,6.461E-05,21.4467
3.2445,6.321E-05,21.4705,6.435E-05,21.4511,6.406E-05,21.4561,6.487E-05,21.4424
3.3075,6.267E-05,21.4800,6.356E-05,21.4647,6.388E-05,21.4591,6.355E-05,21.4648
3.3705,6.357E-05,21.4644,6.264E-05,21.4805,6.422E-05,21.4533,6.265E-05,21.4804
3.4335,6.556E-05,21.4309,6.160E-05,21.4987,6.472E-05,21.4450,6.313E-05,21.4721
3.4965,6.630E-05,21.4188,6.200E-05,21.4915,6.466E-05,21.4460,6.363E-05,21.4635
3.5595,6.541E-05,21.4335,6.388E-05,21.4591,6.525E-05,21.4361,6.352E-05,21.4653
3.6225,6.429E-05,21.4522,6.516E-05,21.4376,6.629E-05,21.4189,6.355E-05,21.4647
3.6855,6.336E-05,21.4681,6.550E-05,21.4320,6.559E-05,21.4306,6.355E-05,21.4648
3.7485,6.266E-05,21.4802,6.494E-05,21.4413,6.335E-05,21.4682,6.293E-05,21.4755
3.8115,6.226E-05,21.4871,6.365E-05,21.4631,6.182E-05,21.4948,6.226E-05,21.4871
3.8745,6.259E-05,21.4813,6.267E-05,21.4799,6.283E-05,21.4771,6.270E-05,21.4795
3.9375,6.286E-05,21.4766,6.269E-05,21.4796,6.528E-05,21.4356,6.416E-05,21.4545
4.0005,6.240E-05,21.4847,6.257E-05,21.4816,6.644E-05,21.4166,6.524E-05,21.4363
4.0635,6.284E-05,21.4770,6.257E-05,21.4817,6.519E-05,21.4371,6.557E-05,21.4309
4.1265,6.368E-05,21.4625,6.277E-05,21.4781,6.384E-05,21.4598,6.631E-05,21.4186
4.1895,6.402E-05,21.4568,6.258E-05,21.4815,6.415E-05,21.4547,6.640E-05,21.4172
4.2525,6.459E-05,21.4472,6.300E-05,21.4743,6.550E-05,21.4320,6.469E-05,21.4455
4.3155,6.480E-05,21.4437,6.395E-05,21.4580,6.592E-05,21.4251,6.358E-05,21.4643
4.3785,6.466E-05,21.4460,6.415E-05,21.4545,6.497E-05,21.4408,6.345E-05,21.4666
4.4415,6.415E-05,21.4546,6.356E-05,21.4647,6.424E-05,21.4530,6.403E-05,21.4566
4.5045,6.242E-05,21.4843,6.337E-05,21.4679,6.477E-05,21.4441,6.448E-05,21.4490
4.5675,6.167E-05,21.4975,6.442E-05,21.4500,6.591E-05,21.4253,6.428E-05,21.4524
4.6305,6.318E-05,21.4712,6.603E-05,21.4233,6.500E-05,21.4404,6.446E-05,21.4493
4.6935,6.532E-05,21.4350,6.625E-05,21.4196,6.291E-05,21.4757,6.510E-05,21.4386
4.7565,6.601E-05,21.4236,6.583E-05,21.4266,6.245E-05,21.4837,6.565E-05,21.4295
4.8195,6.542E-05,21.4333,6.559E-05,21.4304,6.388E-05,21.4591,6.521E-05,21.4367
4.8825,6.509E-05,21.4389,6.505E-05,21.4395,6.481E-05,21.4434,6.406E-05,21.4560
4.9455,6.475E-05,21.4445,6.381E-05,21.4603,6.407E-05,21.4560,6.349E-05,21.4658
5.0085,6.403E-05,21.4566,6.244E-05,21.4839,6.422E-05,21.4534,6.274E-05,21.4786
5.0715,6.390E-05,21.4587,6.182E-05,21.4947,6.575E-05,21.4279,6.190E-05,21.4933
5.1345,6.420E-05,21.4538,6.161E-05,21.4984,6.589E-05,21.4255,6.295E-05,21.4751
5.1975,6.532E-05,21.4350,6.187E-05,21.4938,6.492E-05,21.4416,6.434E-05,21.4513
5.2605,6.588E-05,21.4257,6.371E-05,21.4621,6.525E-05,21.4361,6.454E-05,21.4481
5.3235,6.483E-05,21.4431,6.575E-05,21.4278,6.614E-05,21.4215,6.355E-05,21.4647
5.3865,6.421E-05,21.4535,6.525E-05,21.4362,6.551E-05,21.4318,6.226E-05,21.4871
5.4495,6.436E-05,21.4511,6.403E-05,21.4566,6.428E-05,21.4524,6.220E-05,21.4881
5.5125,6.424E-05,21.4531,6.371E-05,21.4620,6.364E-05,21.4633,6.284E-05,21.4769
5.5755,6.412E-05,21.4550,6.348E-05,21.4660,6.399E-05,21.4574,6.334E-05,21.4683
5.6385,6.474E-05,21.4446,6.346E-05,21.4663,6.467E-05,21.4458,6.389E-05,21.4589
5.7015,6.579E-05,21.4271,6.423E-05,21.4532,6.465E-05,21.4461,6.426E-05,21.4527
5.7645,6.599E-05,21.4240,6.480E-05,21.4436,6.408E-05,21.4558,6.427E-05,21.4525
5.8275,6.512E-05,21.4383,6.490E-05,21.4419,6.416E-05,21.4543,6.457E-05,21.4475
5.8905,6.381E-05,21.4604,6.418E-05,21.4541,6.373E-05,21.4618,6.483E-05,21.4431
5.9535,6.373E-05,21.4617,6.327E-05,21.4696,6.318E-05,21.4711,6.400E-05,21.4571
6.0165,6.462E-05,21.4466,6.306E-05,21.4733,6.415E-05,21.4546,6.382E-05,21.4602
6.0795,6.416E-05,21.4545,6.314E-05,21.4718,6.513E-05,21.4382,6.446E-05,21.4493
6.1425,6.355E-05,21.4648,6.383E-05,21.4600,6.543E-05,21.4331,6.429E-05,21.4523
6.2055,6.367E-05,21.4627,6.420E-05,21.4537,6.467E-05,21.4458,6.378E-05,21.4608
6.2685,6.407E-05,21.4559,6.382E-05,21.4602,6.331E-05,21.4689,6.352E-05,21.4653
6.3315,6.470E-05,21.4453,6.380E-05,21.4605,6.207E-05,21.4903,6.399E-05,21.4573
6.3945,6.490E-05,21.4419,6.439E-05,21.4505,6.218E-05,21.4885,6.479E-05,21.4438
6.4575,6.463E-05,21.4464,6.514E-05,21.4379,6.290E-05,21.4760,6.469E-05,21.4454
6.5205,6.451E-05,21.4486,6.580E-05,21.4270,6.362E-05,21.4636,6.446E-05,21.4493
6.5835,6.431E-05,21.4519,6.611E-05,21.4220,6.416E-05,21.4544,6.500E-05,21.4403
6.6465,6.377E-05,21.4610,6.547E-05,21.4324,6.453E-05,21.4482,6.524E-05,21.4363
6.7095,6.282E-05,21.4773,6.455E-05,21.4479,6.444E-05,21.4497,6.486E-05,21.4426
6.7725,6.274E-05,21.4788,6.432E-05,21.4516,6.466E-05,21.4460,6.458E-05,21.4474
6.8355,6.410E-05,21.4554,6.427E-05,21.4525,6.573E-05,21.4282,6.524E-05,21.4363
6.8985,6.495E-05,21.4411,6.425E-05,21.4529,6.558E-05,21.4306,6.621E-05,21.4203
6.9615,6.449E-05,21.4488,6.498E-05,21.4406,6.437E-05,21.4508,6.583E-05,21.4266
7.0245,6.359E-05,21.4641,6.561E-05,21.4302,6.351E-05,21.4655,6.488E-05,21.4423
7.0875,6.351E-05,21.4654,6.523E-05,21.4364,6.349E-05,21.4659,6.440E-05,21.4503
7.1505,6.448E-05,21.4490,6.489E-05,21.4422,6.364E-05,21.4632,6.404E-05,21.4565
7.2135,6.493E-05,21.4415,6.478E-05,21.4440,6.361E-05,21.4637,6.365E-05,21.4632
7.2765,6.506E-05,21.4393,6.503E-05,21.4398,6.410E-05,21.4554,6.434E-05,21.4513
7.3395,6.538E-05,21.4340,6.474E-05,21.4446,6.436E-05,21.4510,6.546E-05,21.4326
7.4025,6.564E-05,21.4296,6.408E-05,21.4558,6.405E-05,21.4562,6.586E-05,21.4260
7.4655,6.518E-05,21.4373,6.399E-05,21.4573,6.450E-05,21.4487,6.561E-05,21.4301
