Arcsec,Contr_0nm,Sen_0nm,Contr_2nm,Sen_2nm,Contr_5nm,Sen_5nm,Contr_10nm,Sen_10nm
1.5435,4.680E-06,20.7221,4.966E-06,20.6577,5.435E-06,20.5597,5.702E-06,20.5077
1.6065,4.420E-06,20.7841,4.700E-06,20.7176,5.049E-06,20.6397,5.116E-06,20.6253
1.6695,4.281E-06,20.8188,4.503E-06,20.7641,4.684E-06,20.7213,4.735E-06,20.7094
1.7325,4.219E-06,20.8347,4.267E-06,20.8225,4.502E-06,20.7642,4.543E-06,20.7545
1.7955,3.975E-06,20.8994,3.901E-06,20.9198,4.294E-06,20.8156,4.300E-06,20.8142
1.8585,3.589E-06,21.0102,3.729E-06,20.9689,3.953E-06,20.9054,3.970E-06,20.9008
1.9215,3.380E-06,21.0756,3.643E-06,20.9940,3.701E-06,20.9769,3.641E-06,20.9948
1.9845,3.290E-06,21.1046,3.371E-06,21.0785,3.443E-06,21.0554,3.326E-06,21.0928
2.0475,3.131E-06,21.1586,3.045E-06,21.1888,3.125E-06,21.1606,3.042E-06,21.1899
2.1105,2.957E-06,21.2207,2.829E-06,21.2686,2.844E-06,21.2630,2.826E-06,21.2697
2.1735,2.757E-06,21.2968,2.683E-06,21.3260,2.616E-06,21.3537,2.616E-06,21.3538
2.2365,2.531E-06,21.3895,2.581E-06,21.3685,2.455E-06,21.4229,2.485E-06,21.4095
2.2995,2.373E-06,21.4596,2.491E-06,21.4069,2.346E-06,21.4719,2.464E-06,21.4184
2.3625,2.333E-06,21.4777,2.371E-06,21.4603,2.246E-06,21.5193,2.411E-06,21.4421
2.4255,2.337E-06,21.4763,2.268E-06,21.5086,2.162E-06,21.5608,2.272E-06,21.5070
2.4885,2.310E-06,21.4887,2.228E-06,21.5281,2.105E-06,21.5896,2.176E-06,21.5538
2.5515,2.296E-06,21.4956,2.195E-06,21.5442,2.114E-06,21.5848,2.177E-06,21.5532
2.6145,2.331E-06,21.4789,2.139E-06,21.5722,2.167E-06,21.5581,2.201E-06,21.5412
2.6775,2.319E-06,21.4845,2.125E-06,21.5794,2.176E-06,21.5536,2.213E-06,21.5352
