Arcsec,Contr_0nm,Sen_0nm,Contr_2nm,Sen_2nm,Contr_5nm,Sen_5nm,Contr_10nm,Sen_10nm
1.5435,8.624E-06,19.9820,8.056E-06,20.0560,8.488E-06,19.9993,1.052E-05,19.7662
1.6065,8.106E-06,20.0494,7.587E-06,20.1211,8.311E-06,20.0223,9.857E-06,19.8369
1.6695,7.854E-06,20.0837,7.050E-06,20.2008,7.977E-06,20.0668,8.869E-06,19.9516
1.7325,7.573E-06,20.1231,6.487E-06,20.2912,7.459E-06,20.1397,7.906E-06,20.0764
1.7955,7.075E-06,20.1971,5.993E-06,20.3771,6.772E-06,20.2445,7.165E-06,20.1832
1.8585,6.551E-06,20.2806,5.826E-06,20.4080,6.134E-06,20.3520,6.702E-06,20.2559
1.9215,6.203E-06,20.3398,5.817E-06,20.4095,5.778E-06,20.4170,6.478E-06,20.2927
1.9845,5.945E-06,20.3859,5.691E-06,20.4334,5.722E-06,20.4275,6.200E-06,20.3404
2.0475,5.546E-06,20.4614,5.389E-06,20.4925,5.581E-06,20.4546,5.762E-06,20.4199
2.1105,5.208E-06,20.5297,5.056E-06,20.5618,5.285E-06,20.5137,5.350E-06,20.5004
2.1735,4.960E-06,20.5827,4.949E-06,20.5852,4.983E-06,20.5777,5.073E-06,20.5583
2.2365,4.750E-06,20.6297,4.910E-06,20.5936,4.688E-06,20.6438,4.807E-06,20.6168
2.2995,4.611E-06,20.6618,4.754E-06,20.6286,4.579E-06,20.6693,4.573E-06,20.6709
2.3625,4.422E-06,20.7072,4.593E-06,20.6662,4.458E-06,20.6985,4.378E-06,20.7182
2.4255,4.149E-06,20.7764,4.335E-06,20.7288,4.098E-06,20.7899,4.076E-06,20.7957
2.4885,3.916E-06,20.8392,4.062E-06,20.7996,3.771E-06,20.8801,3.823E-06,20.8653
2.5515,3.725E-06,20.8936,3.881E-06,20.8490,3.634E-06,20.9205,3.716E-06,20.8961
2.6145,3.544E-06,20.9477,3.720E-06,20.8951,3.621E-06,20.9243,3.730E-06,20.8922
2.6775,3.497E-06,20.9621,3.506E-06,20.9594,3.636E-06,20.9196,3.731E-06,20.8919
2.7405,3.527E-06,20.9528,3.399E-06,20.9931,3.572E-06,20.9391,3.621E-06,20.9243
2.8035,3.551E-06,20.9455,3.421E-06,20.9860,3.494E-06,20.9629,3.502E-06,20.9606
2.8665,3.562E-06,20.9421,3.405E-06,20.9910,3.512E-06,20.9574,3.417E-06,20.9874
2.9295,3.496E-06,20.9626,3.353E-06,21.0079,3.466E-06,20.9719,3.338E-06,21.0127
2.9925,3.403E-06,20.9917,3.306E-06,21.0231,3.319E-06,21.0188,3.288E-06,21.0291
3.0555,3.392E-06,20.9952,3.278E-06,21.0323,3.312E-06,21.0210,3.283E-06,21.0308
