Arcsec,Contr_0nm,Sen_0nm,Contr_2nm,Sen_2nm,Contr_5nm,Sen_5nm,Contr_10nm,Sen_10nm
1.5435,5.053E-06,19.9053,5.359E-06,19.8416,5.314E-06,19.8506,5.677E-06,19.7789
1.6065,4.638E-06,19.9983,4.840E-06,19.9521,5.008E-06,19.9150,4.971E-06,19.9232
1.6695,4.304E-06,20.0795,4.424E-06,20.0496,4.731E-06,19.9768,4.688E-06,19.9866
1.7325,4.226E-06,20.0994,4.167E-06,20.1146,4.349E-06,20.0681,4.485E-06,20.0348
1.7955,4.192E-06,20.1083,3.996E-06,20.1600,3.912E-06,20.1832,4.217E-06,20.1016
1.8585,3.991E-06,20.1616,3.827E-06,20.2070,3.718E-06,20.2385,4.001E-06,20.1588
1.9215,3.621E-06,20.2673,3.541E-06,20.2914,3.660E-06,20.2555,3.754E-06,20.2280
1.9845,3.204E-06,20.4001,3.195E-06,20.4031,3.393E-06,20.3379,3.368E-06,20.3459
2.0475,2.857E-06,20.5246,2.909E-06,20.5048,2.994E-06,20.4736,2.994E-06,20.4734
2.1105,2.630E-06,20.6144,2.711E-06,20.5814,2.696E-06,20.5876,2.834E-06,20.5334
2.1735,2.515E-06,20.6629,2.560E-06,20.6435,2.533E-06,20.6550,2.744E-06,20.5683
2.2365,2.433E-06,20.6989,2.468E-06,20.6832,2.468E-06,20.6832,2.604E-06,20.6251
2.2995,2.339E-06,20.7418,2.430E-06,20.7001,2.441E-06,20.6952,2.523E-06,20.6594
2.3625,2.259E-06,20.7793,2.371E-06,20.7270,2.417E-06,20.7062,2.439E-06,20.6963
2.4255,2.199E-06,20.8085,2.279E-06,20.7698,2.368E-06,20.7284,2.255E-06,20.7814
2.4885,2.176E-06,20.8199,2.207E-06,20.8047,2.317E-06,20.7518,2.125E-06,20.8458
2.5515,2.155E-06,20.8308,2.177E-06,20.8194,2.282E-06,20.7683,2.079E-06,20.8694
2.6145,2.126E-06,20.8454,2.181E-06,20.8173,2.246E-06,20.7859,2.058E-06,20.8808
2.6775,2.101E-06,20.8580,2.235E-06,20.7909,2.221E-06,20.7980,2.058E-06,20.8808
2.7405,2.081E-06,20.8687,2.243E-06,20.7872,2.197E-06,20.8095,2.071E-06,20.8740
2.8035,2.067E-06,20.8757,2.142E-06,20.8369,2.165E-06,20.8256,2.058E-06,20.8805
2.8665,2.060E-06,20.8796,2.031E-06,20.8947,2.077E-06,20.8705,2.026E-06,20.8978
2.9295,2.082E-06,20.8682,2.000E-06,20.9117,1.964E-06,20.9312,2.004E-06,20.9093
2.9925,2.040E-06,20.8902,2.014E-06,20.9041,1.926E-06,20.9527,1.985E-06,20.9199
3.0555,1.967E-06,20.9298,2.018E-06,20.9018,1.916E-06,20.9584,1.974E-06,20.9257
3.1185,1.943E-06,20.9429,2.001E-06,20.9111,1.887E-06,20.9745,1.982E-06,20.9212
3.1815,1.948E-06,20.9404,1.968E-06,20.9291,1.853E-06,20.9945,1.956E-06,20.9358
3.2445,1.930E-06,20.9501,1.943E-06,20.9431,1.839E-06,21.0029,1.885E-06,20.9760
3.3075,1.893E-06,20.9713,1.932E-06,20.9489,1.835E-06,21.0054,1.861E-06,20.9901
3.3705,1.891E-06,20.9723,1.883E-06,20.9770,1.842E-06,21.0012,1.854E-06,20.9941
3.4335,1.899E-06,20.9678,1.831E-06,21.0077,1.857E-06,20.9922,1.838E-06,21.0031
