Arcsec,Contr_0nm,Sen_0nm,Contr_2nm,Sen_2nm,Contr_5nm,Sen_5nm,Contr_10nm,Sen_10nm
1.5435,4.512E-06,20.0284,4.504E-06,20.0302,4.561E-06,20.0166,5.414E-06,19.8303
1.6065,4.167E-06,20.1147,4.005E-06,20.1578,4.243E-06,20.0951,5.003E-06,19.9162
1.6695,3.858E-06,20.1984,3.765E-06,20.2249,4.278E-06,20.0861,4.513E-06,20.0280
1.7325,3.568E-06,20.2832,3.627E-06,20.2653,4.281E-06,20.0855,4.085E-06,20.1364
1.7955,3.312E-06,20.3638,3.487E-06,20.3080,4.163E-06,20.1157,3.746E-06,20.2304
1.8585,3.131E-06,20.4249,3.336E-06,20.3560,3.986E-06,20.1628,3.449E-06,20.3200
1.9215,2.958E-06,20.4868,3.073E-06,20.4452,3.611E-06,20.2701,3.121E-06,20.4285
1.9845,2.688E-06,20.5908,2.673E-06,20.5966,3.105E-06,20.4340,2.821E-06,20.5383
2.0475,2.391E-06,20.7179,2.375E-06,20.7250,2.684E-06,20.5921,2.529E-06,20.6567
2.1105,2.154E-06,20.8312,2.162E-06,20.8269,2.384E-06,20.7208,2.288E-06,20.7655
2.1735,1.955E-06,20.9364,1.969E-06,20.9284,2.124E-06,20.8462,2.160E-06,20.8280
2.2365,1.835E-06,21.0052,1.854E-06,20.9942,1.941E-06,20.9443,2.068E-06,20.8751
2.2995,1.800E-06,21.0257,1.785E-06,21.0352,1.841E-06,21.0016,1.932E-06,20.9492
2.3625,1.724E-06,21.0726,1.734E-06,21.0668,1.747E-06,21.0583,1.826E-06,21.0107
2.4255,1.635E-06,21.1304,1.729E-06,21.0697,1.689E-06,21.0951,1.771E-06,21.0439
2.4885,1.579E-06,21.1685,1.726E-06,21.0715,1.688E-06,21.0958,1.698E-06,21.0895
2.5515,1.571E-06,21.1736,1.688E-06,21.0960,1.726E-06,21.0717,1.651E-06,21.1196
2.6145,1.585E-06,21.1640,1.626E-06,21.1364,1.756E-06,21.0531,1.680E-06,21.1010
2.6775,1.625E-06,21.1373,1.571E-06,21.1738,1.743E-06,21.0610,1.756E-06,21.0527
2.7405,1.645E-06,21.1238,1.571E-06,21.1740,1.706E-06,21.0844,1.787E-06,21.0340
2.8035,1.599E-06,21.1547,1.592E-06,21.1592,1.664E-06,21.1111,1.725E-06,21.0720
2.8665,1.536E-06,21.1985,1.589E-06,21.1615,1.618E-06,21.1415,1.644E-06,21.1244
2.9295,1.528E-06,21.2041,1.550E-06,21.1883,1.576E-06,21.1703,1.639E-06,21.1278
2.9925,1.530E-06,21.2025,1.528E-06,21.2038,1.546E-06,21.1910,1.671E-06,21.1065
3.0555,1.490E-06,21.2314,1.538E-06,21.1971,1.533E-06,21.2002,1.632E-06,21.1326
3.1185,1.448E-06,21.2626,1.509E-06,21.2176,1.519E-06,21.2101,1.540E-06,21.1951
3.1815,1.427E-06,21.2778,1.420E-06,21.2837,1.511E-06,21.2158,1.502E-06,21.2227
3.2445,1.419E-06,21.2845,1.385E-06,21.3103,1.513E-06,21.2147,1.465E-06,21.2494
3.3075,1.396E-06,21.3021,1.399E-06,21.3000,1.500E-06,21.2242,1.406E-06,21.2941
3.3705,1.362E-06,21.3290,1.391E-06,21.3062,1.466E-06,21.2487,1.356E-06,21.3334
3.4335,1.350E-06,21.3380,1.399E-06,21.2996,1.419E-06,21.2839,1.318E-06,21.3643
3.4965,1.355E-06,21.3345,1.408E-06,21.2926,1.394E-06,21.3038,1.301E-06,21.3784
3.5595,1.361E-06,21.3297,1.358E-06,21.3318,1.382E-06,21.3131,1.292E-06,21.3865
3.6225,1.372E-06,21.3211,1.304E-06,21.3761,1.354E-06,21.3350,1.272E-06,21.4033
3.6855,1.375E-06,21.3188,1.284E-06,21.3926,1.317E-06,21.3655,1.246E-06,21.4251
3.7485,1.360E-06,21.3302,1.279E-06,21.3968,1.283E-06,21.3936,1.243E-06,21.4281
3.8115,1.326E-06,21.3576,1.260E-06,21.4135,1.253E-06,21.4192,1.249E-06,21.4230
3.8745,1.280E-06,21.3964,1.223E-06,21.4461,1.259E-06,21.4139,1.267E-06,21.4072
3.9375,1.241E-06,21.4294,1.217E-06,21.4508,1.271E-06,21.4038,1.292E-06,21.3861
4.0005,1.219E-06,21.4496,1.245E-06,21.4264,1.257E-06,21.4161,1.301E-06,21.3782
4.0635,1.196E-06,21.4701,1.271E-06,21.4040,1.231E-06,21.4384,1.296E-06,21.3827
4.1265,1.182E-06,21.4831,1.279E-06,21.3971,1.229E-06,21.4403,1.272E-06,21.4030
4.1895,1.177E-06,21.4869,1.274E-06,21.4015,1.243E-06,21.4280,1.228E-06,21.4416
4.2525,1.203E-06,21.4635,1.263E-06,21.4111,1.230E-06,21.4397,1.175E-06,21.4888
4.3155,1.238E-06,21.4324,1.244E-06,21.4271,1.204E-06,21.4622,1.146E-06,21.5160
4.3785,1.225E-06,21.4441,1.230E-06,21.4391,1.206E-06,21.4611,1.165E-06,21.4984
4.4415,1.189E-06,21.4762,1.228E-06,21.4414,1.228E-06,21.4410,1.187E-06,21.4778
4.5045,1.173E-06,21.4909,1.209E-06,21.4578,1.246E-06,21.4254,1.177E-06,21.4868
4.5675,1.187E-06,21.4778,1.193E-06,21.4727,1.242E-06,21.4287,1.155E-06,21.5074
4.6305,1.203E-06,21.4634,1.178E-06,21.4863,1.221E-06,21.4476,1.156E-06,21.5067
4.6935,1.215E-06,21.4524,1.170E-06,21.4934,1.178E-06,21.4861,1.182E-06,21.4825
4.7565,1.230E-06,21.4393,1.182E-06,21.4823,1.168E-06,21.4959,1.208E-06,21.4593
4.8195,1.224E-06,21.4448,1.180E-06,21.4849,1.193E-06,21.4729,1.213E-06,21.4546
4.8825,1.192E-06,21.4734,1.161E-06,21.5020,1.211E-06,21.4562,1.213E-06,21.4544
4.9455,1.166E-06,21.4974,1.159E-06,21.5042,1.219E-06,21.4488,1.204E-06,21.4625
