Arcsec,Contr_0nm,Sen_0nm,Contr_2nm,Sen_2nm,Contr_5nm,Sen_5nm,Contr_10nm,Sen_10nm
1.5435,4.026E-06,17.8727,3.733E-06,17.9548,3.991E-06,17.8823,4.936E-06,17.6515
1.6065,3.622E-06,17.9874,3.353E-06,18.0712,3.883E-06,17.9120,4.796E-06,17.6828
1.6695,3.254E-06,18.1040,3.213E-06,18.1175,3.650E-06,17.9793,4.658E-06,17.7144
1.7325,2.951E-06,18.2101,3.217E-06,18.1161,3.306E-06,18.0866,4.385E-06,17.7800
1.7955,2.834E-06,18.2540,3.087E-06,18.1609,3.119E-06,18.1497,3.888E-06,17.9106
1.8585,2.799E-06,18.2675,2.877E-06,18.2376,3.175E-06,18.1305,3.493E-06,18.0270
1.9215,2.688E-06,18.3115,2.767E-06,18.2800,3.184E-06,18.1273,3.325E-06,18.0803
1.9845,2.559E-06,18.3649,2.714E-06,18.3009,3.023E-06,18.1837,3.208E-06,18.1195
2.0475,2.472E-06,18.4021,2.654E-06,18.3252,2.761E-06,18.2820,2.958E-06,18.2076
2.1105,2.416E-06,18.4271,2.486E-06,18.3964,2.523E-06,18.3802,2.666E-06,18.3203
2.1735,2.328E-06,18.4676,2.259E-06,18.5001,2.321E-06,18.4708,2.437E-06,18.4176
2.2365,2.191E-06,18.5331,2.100E-06,18.5794,2.148E-06,18.5547,2.276E-06,18.4918
2.2995,2.043E-06,18.6094,2.026E-06,18.6186,2.026E-06,18.6184,2.138E-06,18.5599
2.3625,1.925E-06,18.6741,1.985E-06,18.6406,1.947E-06,18.6614,1.976E-06,18.6453
2.4255,1.808E-06,18.7422,1.899E-06,18.6888,1.848E-06,18.7179,1.836E-06,18.7255
2.4885,1.653E-06,18.8389,1.766E-06,18.7672,1.691E-06,18.8148,1.708E-06,18.8037
2.5515,1.531E-06,18.9222,1.617E-06,18.8629,1.576E-06,18.8908,1.564E-06,18.8996
2.6145,1.491E-06,18.9512,1.507E-06,18.9398,1.526E-06,18.9261,1.467E-06,18.9686
2.6775,1.483E-06,18.9568,1.474E-06,18.9635,1.498E-06,18.9461,1.442E-06,18.9872
2.7405,1.455E-06,18.9780,1.469E-06,18.9671,1.480E-06,18.9590,1.474E-06,18.9636
2.8035,1.447E-06,18.9840,1.417E-06,19.0065,1.444E-06,18.9863,1.504E-06,18.9421
2.8665,1.464E-06,18.9713,1.327E-06,19.0775,1.387E-06,19.0296,1.466E-06,18.9693
2.9295,1.463E-06,18.9720,1.297E-06,19.1027,1.360E-06,19.0514,1.393E-06,19.0252
2.9925,1.429E-06,18.9975,1.322E-06,19.0817,1.372E-06,19.0416,1.333E-06,19.0729
3.0555,1.384E-06,19.0322,1.345E-06,19.0632,1.399E-06,19.0202,1.308E-06,19.0933
3.1185,1.339E-06,19.0676,1.354E-06,19.0559,1.420E-06,19.0038,1.306E-06,19.0949
3.1815,1.336E-06,19.0707,1.348E-06,19.0609,1.429E-06,18.9972,1.299E-06,19.1011
3.2445,1.370E-06,19.0433,1.325E-06,19.0792,1.414E-06,19.0085,1.286E-06,19.1114
