Arcsec,Contr_0nm,Sen_0nm,Contr_2nm,Sen_2nm,Contr_5nm,Sen_5nm,Contr_10nm,Sen_10nm
1.5435,1.991E-06,18.6373,2.235E-06,18.5115,3.214E-06,18.1173,5.289E-06,17.5766
1.6065,1.853E-06,18.7153,2.116E-06,18.5709,2.987E-06,18.1967,4.753E-06,17.6924
1.6695,1.699E-06,18.8091,1.968E-06,18.6498,2.673E-06,18.3174,4.192E-06,17.8289
1.7325,1.567E-06,18.8972,1.785E-06,18.7559,2.339E-06,18.4623,3.633E-06,17.9843
1.7955,1.465E-06,18.9704,1.557E-06,18.9039,2.062E-06,18.5994,3.168E-06,18.1328
1.8585,1.407E-06,19.0140,1.389E-06,19.0282,1.823E-06,18.7328,2.807E-06,18.2642
1.9215,1.342E-06,19.0652,1.304E-06,19.0971,1.623E-06,18.8589,2.444E-06,18.4144
1.9845,1.231E-06,19.1592,1.264E-06,19.1302,1.477E-06,18.9614,2.108E-06,18.5752
2.0475,1.126E-06,19.2563,1.239E-06,19.1523,1.385E-06,19.0311,1.912E-06,18.6810
2.1105,1.073E-06,19.3089,1.161E-06,19.2226,1.319E-06,19.0846,1.775E-06,18.7620
2.1735,1.055E-06,19.3270,1.052E-06,19.3304,1.230E-06,19.1600,1.601E-06,18.8740
2.2365,1.028E-06,19.3554,9.891E-07,19.3968,1.131E-06,19.2508,1.418E-06,19.0060
2.2995,9.523E-07,19.4379,9.603E-07,19.4289,1.040E-06,19.3424,1.236E-06,19.1546
2.3625,8.348E-07,19.5809,9.017E-07,19.4973,9.212E-07,19.4740,1.078E-06,19.3034
2.4255,7.182E-07,19.7442,8.154E-07,19.6064,7.992E-07,19.6282,9.695E-07,19.4185
2.4885,6.259E-07,19.8937,7.096E-07,19.7574,7.308E-07,19.7254,8.643E-07,19.5433
2.5515,5.638E-07,20.0071,6.116E-07,19.9187,6.911E-07,19.7860,7.536E-07,19.6921
2.6145,5.275E-07,20.0793,5.567E-07,20.0209,6.340E-07,19.8797,6.565E-07,19.8418
2.6775,5.101E-07,20.1158,5.245E-07,20.0856,5.676E-07,19.9997,5.740E-07,19.9877
2.7405,4.902E-07,20.1590,4.942E-07,20.1502,5.071E-07,20.1222,5.206E-07,20.0936
2.8035,4.601E-07,20.2277,4.692E-07,20.2066,4.600E-07,20.2279,5.023E-07,20.1324
2.8665,4.397E-07,20.2770,4.425E-07,20.2700,4.410E-07,20.2739,4.834E-07,20.1741
2.9295,4.344E-07,20.2901,4.241E-07,20.3163,4.357E-07,20.2869,4.623E-07,20.2226
2.9925,4.301E-07,20.3010,4.150E-07,20.3397,4.272E-07,20.3084,4.568E-07,20.2357
3.0555,4.102E-07,20.3523,4.059E-07,20.3637,4.186E-07,20.3305,4.612E-07,20.2252
3.1185,3.931E-07,20.3985,4.003E-07,20.3790,4.143E-07,20.3415,4.586E-07,20.2313
3.1815,3.937E-07,20.3969,4.012E-07,20.3765,4.084E-07,20.3572,4.567E-07,20.2359
3.2445,3.987E-07,20.3833,4.117E-07,20.3485,3.984E-07,20.3842,4.585E-07,20.2315
3.3075,3.945E-07,20.3947,4.146E-07,20.3408,3.967E-07,20.3887,4.504E-07,20.2509
3.3705,3.929E-07,20.3993,3.985E-07,20.3838,4.014E-07,20.3760,4.366E-07,20.2846
3.4335,3.971E-07,20.3877,3.855E-07,20.4198,3.960E-07,20.3908,4.267E-07,20.3096
3.4965,3.908E-07,20.4049,3.941E-07,20.3958,3.836E-07,20.4251,4.234E-07,20.3180
3.5595,3.825E-07,20.4282,4.079E-07,20.3585,3.827E-07,20.4279,4.205E-07,20.3254
3.6225,3.864E-07,20.4173,4.065E-07,20.3623,3.821E-07,20.4295,4.159E-07,20.3374
3.6855,3.778E-07,20.4417,3.918E-07,20.4024,3.681E-07,20.4698,4.042E-07,20.3684
3.7485,3.545E-07,20.5109,3.823E-07,20.4290,3.498E-07,20.5253,3.822E-07,20.4292
3.8115,3.417E-07,20.5507,3.759E-07,20.4471,3.431E-07,20.5465,3.601E-07,20.4940
3.8745,3.374E-07,20.5647,3.591E-07,20.4969,3.468E-07,20.5346,3.492E-07,20.5272
3.9375,3.310E-07,20.5854,3.408E-07,20.5537,3.496E-07,20.5261,3.476E-07,20.5321
4.0005,3.254E-07,20.6039,3.303E-07,20.5876,3.375E-07,20.5641,3.466E-07,20.5352
4.0635,3.262E-07,20.6012,3.198E-07,20.6228,3.204E-07,20.6205,3.409E-07,20.5532
4.1265,3.208E-07,20.6192,3.086E-07,20.6614,3.128E-07,20.6469,3.227E-07,20.6129
4.1895,3.093E-07,20.6589,2.960E-07,20.7065,3.065E-07,20.6690,3.019E-07,20.6854
4.2525,3.019E-07,20.6852,2.864E-07,20.7424,3.004E-07,20.6907,2.932E-07,20.7169
4.3155,2.956E-07,20.7080,2.837E-07,20.7528,3.015E-07,20.6868,2.931E-07,20.7174
4.3785,2.844E-07,20.7502,2.832E-07,20.7548,2.986E-07,20.6970,2.943E-07,20.7129
4.4415,2.785E-07,20.7730,2.840E-07,20.7515,2.921E-07,20.7211,2.903E-07,20.7277
4.5045,2.812E-07,20.7623,2.823E-07,20.7583,2.911E-07,20.7248,2.813E-07,20.7619
4.5675,2.832E-07,20.7547,2.788E-07,20.7717,2.902E-07,20.7281,2.790E-07,20.7711
4.6305,2.781E-07,20.7745,2.784E-07,20.7733,2.912E-07,20.7246,2.780E-07,20.7746
4.6935,2.710E-07,20.8023,2.758E-07,20.7834,2.946E-07,20.7117,2.744E-07,20.7888
4.7565,2.655E-07,20.8246,2.698E-07,20.8074,2.880E-07,20.7364,2.745E-07,20.7885
4.8195,2.635E-07,20.8329,2.629E-07,20.8352,2.737E-07,20.7918,2.738E-07,20.7913
4.8825,2.638E-07,20.8316,2.573E-07,20.8590,2.633E-07,20.8339,2.674E-07,20.8168
4.9455,2.649E-07,20.8272,2.540E-07,20.8727,2.566E-07,20.8619,2.604E-07,20.8456
