Arcsec,Contr_0nm,Sen_0nm,Contr_2nm,Sen_2nm,Contr_5nm,Sen_5nm,Contr_10nm,Sen_10nm
1.5435,5.032E-06,20.1860,5.454E-06,20.0986,5.607E-06,20.0685,6.274E-06,19.9465
1.6065,4.734E-06,20.2524,4.971E-06,20.1992,5.225E-06,20.1451,5.752E-06,20.0408
1.6695,4.575E-06,20.2893,4.708E-06,20.2582,4.836E-06,20.2292,5.446E-06,20.1001
1.7325,4.496E-06,20.3082,4.502E-06,20.3069,4.712E-06,20.2574,5.184E-06,20.1536
1.7955,4.356E-06,20.3426,4.328E-06,20.3496,4.653E-06,20.2711,4.943E-06,20.2054
1.8585,4.198E-06,20.3829,4.153E-06,20.3946,4.412E-06,20.3288,4.639E-06,20.2743
1.9215,4.088E-06,20.4117,4.001E-06,20.4350,4.093E-06,20.4103,4.334E-06,20.3481
1.9845,3.962E-06,20.4456,3.880E-06,20.4684,3.942E-06,20.4510,4.154E-06,20.3941
2.0475,3.864E-06,20.4727,3.665E-06,20.5301,3.853E-06,20.4758,4.025E-06,20.4283
2.1105,3.743E-06,20.5072,3.508E-06,20.5776,3.694E-06,20.5217,3.879E-06,20.4685
2.1735,3.488E-06,20.5840,3.473E-06,20.5886,3.522E-06,20.5733,3.693E-06,20.5220
2.2365,3.237E-06,20.6649,3.371E-06,20.6210,3.324E-06,20.6361,3.455E-06,20.5943
2.2995,3.102E-06,20.7112,3.173E-06,20.6866,3.131E-06,20.7013,3.196E-06,20.6789
2.3625,2.992E-06,20.7503,2.939E-06,20.7699,2.957E-06,20.7632,2.983E-06,20.7537
2.4255,2.828E-06,20.8118,2.725E-06,20.8520,2.736E-06,20.8474,2.830E-06,20.8109
2.4885,2.672E-06,20.8733,2.626E-06,20.8923,2.508E-06,20.9420,2.731E-06,20.8494
2.5515,2.558E-06,20.9208,2.586E-06,20.9088,2.370E-06,21.0036,2.592E-06,20.9064
2.6145,2.457E-06,20.9642,2.495E-06,20.9479,2.335E-06,21.0195,2.390E-06,20.9943
2.6775,2.363E-06,21.0067,2.353E-06,21.0115,2.376E-06,21.0007,2.266E-06,21.0522
2.7405,2.309E-06,21.0320,2.272E-06,21.0496,2.381E-06,20.9985,2.233E-06,21.0680
2.8035,2.263E-06,21.0534,2.272E-06,21.0495,2.328E-06,21.0229,2.217E-06,21.0761
2.8665,2.186E-06,21.0911,2.271E-06,21.0497,2.253E-06,21.0585,2.140E-06,21.1144
2.9295,2.143E-06,21.1126,2.200E-06,21.0842,2.146E-06,21.1114,2.059E-06,21.1561
2.9925,2.153E-06,21.1079,2.110E-06,21.1299,2.050E-06,21.1610,2.052E-06,21.1600
3.0555,2.161E-06,21.1037,2.065E-06,21.1529,2.028E-06,21.1728,2.100E-06,21.1351
3.1185,2.143E-06,21.1128,2.054E-06,21.1589,2.093E-06,21.1386,2.163E-06,21.1026
3.1815,2.082E-06,21.1441,2.045E-06,21.1636,2.156E-06,21.1061,2.219E-06,21.0748
3.2445,2.029E-06,21.1724,2.022E-06,21.1758,2.136E-06,21.1162,2.208E-06,21.0804
3.3075,2.024E-06,21.1746,2.036E-06,21.1686,2.073E-06,21.1488,2.144E-06,21.1121
3.3705,2.041E-06,21.1659,2.051E-06,21.1605,2.063E-06,21.1541,2.107E-06,21.1311
3.4335,2.073E-06,21.1489,2.023E-06,21.1756,2.088E-06,21.1411,2.108E-06,21.1307
3.4965,2.095E-06,21.1374,1.997E-06,21.1897,2.101E-06,21.1343,2.096E-06,21.1370
3.5595,2.081E-06,21.1447,2.010E-06,21.1822,2.132E-06,21.1183,2.064E-06,21.1534
3.6225,2.057E-06,21.1573,2.034E-06,21.1694,2.160E-06,21.1044,2.057E-06,21.1573
3.6855,2.076E-06,21.1473,2.040E-06,21.1661,2.125E-06,21.1220,2.060E-06,21.1558
3.7485,2.091E-06,21.1397,2.028E-06,21.1728,2.063E-06,21.1539,2.061E-06,21.1552
3.8115,2.050E-06,21.1608,1.983E-06,21.1968,2.041E-06,21.1658,2.071E-06,21.1497
3.8745,2.006E-06,21.1846,1.957E-06,21.2116,2.032E-06,21.1707,2.074E-06,21.1484
3.9375,2.007E-06,21.1842,1.984E-06,21.1963,2.027E-06,21.1730,2.050E-06,21.1608
4.0005,2.037E-06,21.1678,1.991E-06,21.1924,2.006E-06,21.1846,2.010E-06,21.1821
4.0635,2.037E-06,21.1680,1.959E-06,21.2103,1.958E-06,21.2106,2.000E-06,21.1879
4.1265,2.003E-06,21.1860,1.915E-06,21.2350,1.939E-06,21.2213,2.019E-06,21.1775
4.1895,1.992E-06,21.1920,1.888E-06,21.2506,1.962E-06,21.2089,1.995E-06,21.1907
4.2525,1.998E-06,21.1890,1.890E-06,21.2494,1.976E-06,21.2007,1.972E-06,21.2029
4.3155,1.972E-06,21.2032,1.893E-06,21.2477,1.941E-06,21.2200,1.992E-06,21.1921
4.3785,1.946E-06,21.2173,1.893E-06,21.2476,1.909E-06,21.2381,2.009E-06,21.1827
4.4415,1.934E-06,21.2242,1.902E-06,21.2424,1.936E-06,21.2231,1.983E-06,21.1968
4.5045,1.925E-06,21.2292,1.925E-06,21.2295,1.968E-06,21.2051,1.961E-06,21.2089
4.5675,1.931E-06,21.2262,1.951E-06,21.2146,1.943E-06,21.2189,1.955E-06,21.2126
4.6305,1.935E-06,21.2237,1.963E-06,21.2082,1.909E-06,21.2382,1.935E-06,21.2236
4.6935,1.955E-06,21.2122,1.974E-06,21.2021,1.910E-06,21.2380,1.933E-06,21.2250
4.7565,1.982E-06,21.1979,2.004E-06,21.1858,1.954E-06,21.2133,1.934E-06,21.2241
4.8195,1.975E-06,21.2015,2.027E-06,21.1730,1.968E-06,21.2050,1.932E-06,21.2252
4.8825,1.954E-06,21.2130,2.006E-06,21.1847,1.925E-06,21.2292,1.933E-06,21.2246
4.9455,1.952E-06,21.2143,1.958E-06,21.2108,1.895E-06,21.2463,1.916E-06,21.2342
5.0085,1.971E-06,21.2039,1.930E-06,21.2265,1.896E-06,21.2459,1.905E-06,21.2404
5.0715,1.988E-06,21.1941,1.931E-06,21.2258,1.920E-06,21.2320,1.903E-06,21.2421
5.1345,1.979E-06,21.1991,1.962E-06,21.2088,1.926E-06,21.2288,1.924E-06,21.2301
5.1975,1.938E-06,21.2221,1.994E-06,21.1910,1.913E-06,21.2362,1.956E-06,21.2118
5.2605,1.901E-06,21.2430,1.985E-06,21.1961,1.896E-06,21.2455,1.963E-06,21.2081
5.3235,1.881E-06,21.2546,1.953E-06,21.2135,1.880E-06,21.2549,1.937E-06,21.2227
5.3865,1.884E-06,21.2529,1.921E-06,21.2313,1.884E-06,21.2529,1.905E-06,21.2406
5.4495,1.897E-06,21.2451,1.897E-06,21.2455,1.912E-06,21.2368,1.886E-06,21.2514
5.5125,1.908E-06,21.2392,1.874E-06,21.2586,1.921E-06,21.2316,1.897E-06,21.2451
5.5755,1.937E-06,21.2227,1.852E-06,21.2711,1.893E-06,21.2473,1.936E-06,21.2230
5.6385,1.952E-06,21.2140,1.839E-06,21.2788,1.879E-06,21.2556,1.955E-06,21.2126
5.7015,1.938E-06,21.2218,1.861E-06,21.2660,1.891E-06,21.2484,1.920E-06,21.2320
