Arcsec,Contr_0nm,Sen_0nm,Contr_2nm,Sen_2nm,Contr_5nm,Sen_5nm,Contr_10nm,Sen_10nm
1.5435,7.057E-06,19.8188,7.354E-06,19.7741,7.457E-06,19.7590,8.745E-06,19.5859
1.6065,6.467E-06,19.9136,6.689E-06,19.8769,7.076E-06,19.8159,8.208E-06,19.6547
1.6695,6.077E-06,19.9812,6.247E-06,19.9512,6.492E-06,19.9095,7.525E-06,19.7491
1.7325,5.691E-06,20.0524,5.798E-06,20.0321,5.975E-06,19.9994,6.740E-06,19.8687
1.7955,5.380E-06,20.1134,5.412E-06,20.1071,5.504E-06,20.0886,6.019E-06,19.9915
1.8585,5.198E-06,20.1507,5.096E-06,20.1723,5.062E-06,20.1796,5.403E-06,20.1088
1.9215,4.999E-06,20.1931,4.821E-06,20.2325,4.922E-06,20.2101,4.927E-06,20.2088
1.9845,4.910E-06,20.2128,4.596E-06,20.2843,4.909E-06,20.2129,4.675E-06,20.2660
2.0475,4.754E-06,20.2477,4.330E-06,20.3492,4.746E-06,20.2496,4.576E-06,20.2890
2.1105,4.455E-06,20.3183,4.099E-06,20.4087,4.568E-06,20.2912,4.465E-06,20.3157
2.1735,4.150E-06,20.3951,3.998E-06,20.4358,4.367E-06,20.3399,4.256E-06,20.3678
2.2365,3.819E-06,20.4855,3.908E-06,20.4605,3.965E-06,20.4447,4.001E-06,20.4350
2.2995,3.526E-06,20.5723,3.708E-06,20.5176,3.517E-06,20.5750,3.679E-06,20.5260
2.3625,3.409E-06,20.6087,3.443E-06,20.5981,3.229E-06,20.6677,3.345E-06,20.6294
2.4255,3.391E-06,20.6144,3.196E-06,20.6787,3.117E-06,20.7059,3.136E-06,20.6995
2.4885,3.256E-06,20.6587,2.977E-06,20.7560,3.048E-06,20.7303,2.984E-06,20.7535
2.5515,2.968E-06,20.7592,2.778E-06,20.8311,2.970E-06,20.7585,2.883E-06,20.7907
2.6145,2.720E-06,20.8541,2.634E-06,20.8888,2.837E-06,20.8081,2.832E-06,20.8102
2.6775,2.638E-06,20.8873,2.563E-06,20.9187,2.671E-06,20.8737,2.729E-06,20.8502
2.7405,2.603E-06,20.9015,2.554E-06,20.9225,2.546E-06,20.9257,2.645E-06,20.8843
2.8035,2.595E-06,20.9049,2.524E-06,20.9350,2.450E-06,20.9674,2.560E-06,20.9197
2.8665,2.651E-06,20.8817,2.427E-06,20.9776,2.411E-06,20.9848,2.449E-06,20.9680
2.9295,2.623E-06,20.8935,2.348E-06,21.0138,2.430E-06,20.9764,2.430E-06,20.9765
2.9925,2.582E-06,20.9106,2.329E-06,21.0226,2.443E-06,20.9704,2.476E-06,20.9562
3.0555,2.526E-06,20.9341,2.362E-06,21.0072,2.408E-06,20.9864,2.454E-06,20.9658
3.1185,2.431E-06,20.9757,2.451E-06,20.9668,2.401E-06,20.9894,2.430E-06,20.9765
3.1815,2.409E-06,20.9859,2.498E-06,20.9465,2.413E-06,20.9838,2.469E-06,20.9589
3.2445,2.482E-06,20.9535,2.466E-06,20.9603,2.397E-06,20.9910,2.512E-06,20.9403
3.3075,2.545E-06,20.9261,2.409E-06,20.9856,2.419E-06,20.9813,2.522E-06,20.9361
3.3705,2.532E-06,20.9319,2.349E-06,21.0130,2.452E-06,20.9664,2.502E-06,20.9446
3.4335,2.472E-06,20.9577,2.349E-06,21.0133,2.472E-06,20.9578,2.488E-06,20.9505
3.4965,2.416E-06,20.9828,2.410E-06,20.9852,2.517E-06,20.9380,2.492E-06,20.9491
3.5595,2.378E-06,20.9997,2.403E-06,20.9887,2.518E-06,20.9379,2.475E-06,20.9564
3.6225,2.368E-06,21.0046,2.368E-06,21.0042,2.437E-06,20.9731,2.426E-06,20.9780
3.6855,2.382E-06,20.9980,2.385E-06,20.9966,2.397E-06,20.9910,2.369E-06,21.0038
