Arcsec,Contr_0nm,Sen_0nm,Contr_2nm,Sen_2nm,Contr_5nm,Sen_5nm,Contr_10nm,Sen_10nm
1.5435,9.411E-06,20.5955,9.282E-06,20.6106,1.027E-05,20.5005,9.728E-06,20.5596
1.6065,8.548E-06,20.7000,8.695E-06,20.6814,9.031E-06,20.6402,8.954E-06,20.6496
1.6695,8.090E-06,20.7597,8.350E-06,20.7254,7.917E-06,20.7833,8.390E-06,20.7202
1.7325,7.904E-06,20.7850,8.015E-06,20.7698,7.464E-06,20.8472,8.005E-06,20.7713
1.7955,7.426E-06,20.8527,7.384E-06,20.8589,7.334E-06,20.8662,7.442E-06,20.8504
1.8585,6.802E-06,20.9480,6.713E-06,20.9623,7.043E-06,20.9103,7.033E-06,20.9117
1.9215,6.277E-06,21.0353,6.437E-06,21.0080,6.659E-06,20.9711,6.700E-06,20.9645
1.9845,6.023E-06,21.0802,6.212E-06,21.0466,6.294E-06,21.0323,6.170E-06,21.0539
2.0475,5.816E-06,21.1180,5.814E-06,21.1185,6.009E-06,21.0827,5.710E-06,21.1380
2.1105,5.481E-06,21.1825,5.512E-06,21.1764,5.716E-06,21.1369,5.376E-06,21.2035
2.1735,5.097E-06,21.2613,5.319E-06,21.2151,5.329E-06,21.2130,5.059E-06,21.2696
2.2365,4.833E-06,21.3192,5.174E-06,21.2452,5.084E-06,21.2641,4.861E-06,21.3129
2.2995,4.718E-06,21.3452,5.072E-06,21.2667,4.910E-06,21.3019,4.831E-06,21.3195
2.3625,4.648E-06,21.3614,4.883E-06,21.3079,4.780E-06,21.3309,4.839E-06,21.3178
2.4255,4.607E-06,21.3710,4.582E-06,21.3771,4.743E-06,21.3394,4.728E-06,21.3429
2.4885,4.477E-06,21.4021,4.406E-06,21.4196,4.699E-06,21.3497,4.593E-06,21.3743
2.5515,4.350E-06,21.4333,4.429E-06,21.4139,4.618E-06,21.3686,4.481E-06,21.4012
2.6145,4.382E-06,21.4255,4.523E-06,21.3911,4.516E-06,21.3927,4.366E-06,21.4294
2.6775,4.544E-06,21.3860,4.568E-06,21.3804,4.444E-06,21.4103,4.358E-06,21.4313
2.7405,4.575E-06,21.3787,4.598E-06,21.3732,4.448E-06,21.4093,4.554E-06,21.3836
2.8035,4.423E-06,21.4152,4.646E-06,21.3618,4.487E-06,21.3997,4.672E-06,21.3558
2.8665,4.330E-06,21.4384,4.570E-06,21.3798,4.432E-06,21.4130,4.581E-06,21.3771
2.9295,4.290E-06,21.4484,4.450E-06,21.4088,4.341E-06,21.4355,4.487E-06,21.3998
2.9925,4.326E-06,21.4395,4.390E-06,21.4236,4.382E-06,21.4255,4.377E-06,21.4267
