Arcsec,Contr_0nm,Sen_0nm,Contr_2nm,Sen_2nm,Contr_5nm,Sen_5nm,Contr_10nm,Sen_10nm
1.5435,8.017E-06,20.6964,8.379E-06,20.6484,8.840E-06,20.5902,8.681E-06,20.6100
1.6065,7.380E-06,20.7863,8.065E-06,20.6899,8.089E-06,20.6867,8.093E-06,20.6862
1.6695,7.052E-06,20.8356,7.474E-06,20.7726,7.487E-06,20.7707,7.654E-06,20.7468
1.7325,7.076E-06,20.8320,7.062E-06,20.8342,7.019E-06,20.8408,7.411E-06,20.7818
1.7955,6.959E-06,20.8500,6.959E-06,20.8500,6.904E-06,20.8587,7.369E-06,20.7879
1.8585,6.633E-06,20.9021,6.868E-06,20.8644,6.901E-06,20.8592,7.332E-06,20.7934
1.9215,6.438E-06,20.9346,6.693E-06,20.8924,6.740E-06,20.8848,7.205E-06,20.8124
1.9845,6.395E-06,20.9418,6.410E-06,20.9393,6.460E-06,20.9309,6.964E-06,20.8494
2.0475,6.287E-06,20.9603,6.091E-06,20.9947,6.095E-06,20.9940,6.525E-06,20.9199
2.1105,6.014E-06,21.0086,5.856E-06,21.0374,5.819E-06,21.0443,6.065E-06,20.9994
2.1735,5.761E-06,21.0551,5.703E-06,21.0662,5.739E-06,21.0594,5.707E-06,21.0654
2.2365,5.555E-06,21.0948,5.577E-06,21.0905,5.568E-06,21.0922,5.539E-06,21.0978
2.2995,5.340E-06,21.1377,5.393E-06,21.1268,5.334E-06,21.1388,5.470E-06,21.1114
2.3625,5.065E-06,21.1950,5.177E-06,21.1712,5.259E-06,21.1542,5.432E-06,21.1189
2.4255,4.766E-06,21.2611,5.062E-06,21.1955,5.195E-06,21.1675,5.322E-06,21.1412
2.4885,4.584E-06,21.3032,4.997E-06,21.2097,4.951E-06,21.2196,5.030E-06,21.2026
2.5515,4.474E-06,21.3296,4.778E-06,21.2582,4.677E-06,21.2814,4.798E-06,21.2537
2.6145,4.379E-06,21.3529,4.477E-06,21.3289,4.585E-06,21.3030,4.628E-06,21.2930
2.6775,4.397E-06,21.3486,4.405E-06,21.3465,4.579E-06,21.3045,4.470E-06,21.3306
2.7405,4.449E-06,21.3358,4.402E-06,21.3472,4.522E-06,21.3180,4.369E-06,21.3554
2.8035,4.412E-06,21.3449,4.334E-06,21.3642,4.449E-06,21.3358,4.354E-06,21.3593
2.8665,4.341E-06,21.3624,4.272E-06,21.3798,4.378E-06,21.3531,4.379E-06,21.3529
2.9295,4.279E-06,21.3781,4.247E-06,21.3863,4.323E-06,21.3671,4.362E-06,21.3571
2.9925,4.270E-06,21.3803,4.338E-06,21.3632,4.276E-06,21.3788,4.413E-06,21.3446
3.0555,4.303E-06,21.3720,4.485E-06,21.3270,4.237E-06,21.3888,4.474E-06,21.3297
3.1185,4.276E-06,21.3787,4.482E-06,21.3278,4.347E-06,21.3611,4.404E-06,21.3468
3.1815,4.242E-06,21.3875,4.431E-06,21.3401,4.493E-06,21.3250,4.253E-06,21.3846
3.2445,4.248E-06,21.3861,4.439E-06,21.3382,4.459E-06,21.3333,4.159E-06,21.4088
3.3075,4.179E-06,21.4038,4.372E-06,21.3547,4.347E-06,21.3609,4.226E-06,21.3915
3.3705,4.144E-06,21.4130,4.245E-06,21.3867,4.290E-06,21.3754,4.324E-06,21.3666
3.4335,4.232E-06,21.3901,4.195E-06,21.3997,4.276E-06,21.3787,4.222E-06,21.3926
3.4965,4.340E-06,21.3627,4.194E-06,21.4000,4.325E-06,21.3665,4.153E-06,21.4106
3.5595,4.319E-06,21.3679,4.172E-06,21.4055,4.378E-06,21.3532,4.231E-06,21.3904
3.6225,4.206E-06,21.3968,4.166E-06,21.4071,4.326E-06,21.3662,4.310E-06,21.3701
3.6855,4.095E-06,21.4258,4.215E-06,21.3945,4.221E-06,21.3929,4.349E-06,21.3603
3.7485,4.076E-06,21.4307,4.280E-06,21.3778,4.147E-06,21.4120,4.343E-06,21.3619
3.8115,4.173E-06,21.4052,4.380E-06,21.3528,4.122E-06,21.4188,4.288E-06,21.3758
3.8745,4.254E-06,21.3844,4.398E-06,21.3483,4.128E-06,21.4172,4.266E-06,21.3813
