Arcsec,Contr_0nm,Sen_0nm,Contr_2nm,Sen_2nm,Contr_5nm,Sen_5nm,Contr_10nm,Sen_10nm
1.5435,4.948E-06,20.0335,4.829E-06,20.0600,4.853E-06,20.0546,5.806E-06,19.8600
1.6065,4.340E-06,20.1760,4.568E-06,20.1203,4.611E-06,20.1101,5.468E-06,19.9250
1.6695,4.071E-06,20.2453,4.149E-06,20.2248,4.250E-06,20.1987,4.803E-06,20.0659
1.7325,3.738E-06,20.3380,3.874E-06,20.2992,3.909E-06,20.2896,4.135E-06,20.2284
1.7955,3.386E-06,20.4454,3.751E-06,20.3342,3.651E-06,20.3637,3.747E-06,20.3354
1.8585,3.160E-06,20.5204,3.524E-06,20.4020,3.453E-06,20.4242,3.582E-06,20.3843
1.9215,2.980E-06,20.5840,3.192E-06,20.5096,3.258E-06,20.4874,3.436E-06,20.4294
1.9845,2.785E-06,20.6574,2.863E-06,20.6277,2.988E-06,20.5812,3.103E-06,20.5401
2.0475,2.611E-06,20.7278,2.569E-06,20.7454,2.716E-06,20.6847,2.701E-06,20.6907
2.1105,2.446E-06,20.7985,2.345E-06,20.8445,2.483E-06,20.7822,2.436E-06,20.8028
2.1735,2.273E-06,20.8781,2.176E-06,20.9255,2.261E-06,20.8839,2.289E-06,20.8708
2.2365,2.096E-06,20.9661,2.045E-06,20.9932,2.044E-06,20.9932,2.188E-06,20.9196
2.2995,1.980E-06,21.0280,1.941E-06,21.0495,1.908E-06,21.0682,2.096E-06,20.9660
2.3625,1.927E-06,21.0572,1.870E-06,21.0898,1.853E-06,21.0999,2.014E-06,21.0093
2.4255,1.876E-06,21.0868,1.821E-06,21.1189,1.820E-06,21.1193,1.936E-06,21.0522
2.4885,1.799E-06,21.1320,1.771E-06,21.1491,1.788E-06,21.1387,1.887E-06,21.0802
2.5515,1.745E-06,21.1654,1.715E-06,21.1843,1.776E-06,21.1460,1.830E-06,21.1138
2.6145,1.790E-06,21.1374,1.653E-06,21.2237,1.763E-06,21.1540,1.758E-06,21.1569
2.6775,1.837E-06,21.1096,1.633E-06,21.2374,1.725E-06,21.1775,1.753E-06,21.1603
2.7405,1.794E-06,21.1349,1.645E-06,21.2290,1.685E-06,21.2030,1.783E-06,21.1420
2.8035,1.768E-06,21.1511,1.650E-06,21.2256,1.675E-06,21.2098,1.766E-06,21.1522
2.8665,1.740E-06,21.1685,1.670E-06,21.2127,1.685E-06,21.2030,1.722E-06,21.1798
2.9295,1.667E-06,21.2146,1.698E-06,21.1948,1.685E-06,21.2031,1.700E-06,21.1933
2.9925,1.595E-06,21.2625,1.692E-06,21.1989,1.675E-06,21.2096,1.685E-06,21.2035
3.0555,1.553E-06,21.2914,1.670E-06,21.2126,1.656E-06,21.2219,1.680E-06,21.2064
3.1185,1.524E-06,21.3125,1.664E-06,21.2169,1.646E-06,21.2288,1.675E-06,21.2097
3.1815,1.470E-06,21.3515,1.631E-06,21.2383,1.622E-06,21.2446,1.622E-06,21.2448
3.2445,1.440E-06,21.3738,1.550E-06,21.2940,1.586E-06,21.2692,1.558E-06,21.2882
3.3075,1.456E-06,21.3617,1.481E-06,21.3434,1.552E-06,21.2927,1.542E-06,21.2994
3.3705,1.465E-06,21.3549,1.468E-06,21.3531,1.534E-06,21.3048,1.558E-06,21.2885
3.4335,1.467E-06,21.3538,1.472E-06,21.3498,1.552E-06,21.2926,1.541E-06,21.2998
3.4965,1.457E-06,21.3606,1.469E-06,21.3521,1.565E-06,21.2832,1.506E-06,21.3252
3.5595,1.435E-06,21.3773,1.453E-06,21.3641,1.532E-06,21.3066,1.509E-06,21.3228
3.6225,1.406E-06,21.3998,1.426E-06,21.3844,1.468E-06,21.3531,1.517E-06,21.3175
3.6855,1.390E-06,21.4121,1.394E-06,21.4089,1.416E-06,21.3919,1.489E-06,21.3372
3.7485,1.401E-06,21.4038,1.364E-06,21.4325,1.399E-06,21.4051,1.429E-06,21.3823
3.8115,1.421E-06,21.3881,1.348E-06,21.4451,1.406E-06,21.3999,1.360E-06,21.4355
3.8745,1.419E-06,21.3896,1.355E-06,21.4400,1.401E-06,21.4038,1.350E-06,21.4437
3.9375,1.404E-06,21.4014,1.373E-06,21.4251,1.369E-06,21.4287,1.381E-06,21.4190
4.0005,1.386E-06,21.4149,1.403E-06,21.4021,1.362E-06,21.4344,1.386E-06,21.4149
4.0635,1.371E-06,21.4269,1.419E-06,21.3896,1.372E-06,21.4262,1.373E-06,21.4259
4.1265,1.355E-06,21.4396,1.399E-06,21.4050,1.361E-06,21.4350,1.353E-06,21.4415
4.1895,1.340E-06,21.4520,1.380E-06,21.4197,1.346E-06,21.4473,1.334E-06,21.4570
4.2525,1.316E-06,21.4716,1.370E-06,21.4282,1.343E-06,21.4493,1.336E-06,21.4555
4.3155,1.295E-06,21.4889,1.362E-06,21.4342,1.371E-06,21.4270,1.340E-06,21.4520
4.3785,1.284E-06,21.4986,1.365E-06,21.4320,1.401E-06,21.4032,1.343E-06,21.4495
4.4415,1.259E-06,21.5192,1.337E-06,21.4542,1.397E-06,21.4069,1.341E-06,21.4513
4.5045,1.250E-06,21.5277,1.313E-06,21.4736,1.369E-06,21.4283,1.327E-06,21.4625
4.5675,1.265E-06,21.5149,1.331E-06,21.4590,1.336E-06,21.4554,1.322E-06,21.4670
4.6305,1.273E-06,21.5074,1.352E-06,21.4425,1.319E-06,21.4689,1.323E-06,21.4655
4.6935,1.288E-06,21.4951,1.356E-06,21.4392,1.335E-06,21.4562,1.316E-06,21.4717
4.7565,1.308E-06,21.4782,1.349E-06,21.4447,1.343E-06,21.4491,1.315E-06,21.4722
4.8195,1.308E-06,21.4784,1.322E-06,21.4667,1.325E-06,21.4637,1.325E-06,21.4640
4.8825,1.324E-06,21.4653,1.281E-06,21.5010,1.300E-06,21.4852,1.318E-06,21.4701
4.9455,1.337E-06,21.4540,1.251E-06,21.5261,1.280E-06,21.5015,1.287E-06,21.4953
5.0085,1.330E-06,21.4604,1.255E-06,21.5234,1.275E-06,21.5057,1.253E-06,21.5245
5.0715,1.311E-06,21.4757,1.270E-06,21.5097,1.278E-06,21.5033,1.248E-06,21.5291
5.1345,1.286E-06,21.4962,1.281E-06,21.5006,1.278E-06,21.5029,1.265E-06,21.5141
5.1975,1.279E-06,21.5027,1.296E-06,21.4882,1.277E-06,21.5039,1.286E-06,21.4965
5.2605,1.294E-06,21.4901,1.301E-06,21.4839,1.281E-06,21.5009,1.286E-06,21.4967
5.3235,1.298E-06,21.4869,1.286E-06,21.4970,1.283E-06,21.4992,1.267E-06,21.5126
5.3865,1.275E-06,21.5062,1.275E-06,21.5057,1.288E-06,21.4951,1.266E-06,21.5137
5.4495,1.249E-06,21.5284,1.290E-06,21.4936,1.276E-06,21.5054,1.275E-06,21.5057
5.5125,1.249E-06,21.5285,1.313E-06,21.4744,1.254E-06,21.5242,1.281E-06,21.5010
5.5755,1.274E-06,21.5066,1.316E-06,21.4712,1.266E-06,21.5140,1.282E-06,21.4996
5.6385,1.306E-06,21.4797,1.310E-06,21.4762,1.291E-06,21.4927,1.279E-06,21.5026
5.7015,1.325E-06,21.4645,1.283E-06,21.4991,1.284E-06,21.4981,1.272E-06,21.5082
5.7645,1.312E-06,21.4749,1.247E-06,21.5302,1.267E-06,21.5127,1.267E-06,21.5124
5.8275,1.282E-06,21.4998,1.236E-06,21.5398,1.286E-06,21.4962,1.268E-06,21.5119
5.8905,1.263E-06,21.5165,1.245E-06,21.5318,1.305E-06,21.4807,1.268E-06,21.5121
5.9535,1.255E-06,21.5229,1.261E-06,21.5179,1.282E-06,21.4996,1.272E-06,21.5082
6.0165,1.252E-06,21.5253,1.279E-06,21.5028,1.268E-06,21.5117,1.282E-06,21.5002
6.0795,1.258E-06,21.5205,1.276E-06,21.5046,1.275E-06,21.5055,1.266E-06,21.5135
6.1425,1.273E-06,21.5073,1.258E-06,21.5205,1.263E-06,21.5164,1.243E-06,21.5339
6.2055,1.280E-06,21.5013,1.248E-06,21.5288,1.232E-06,21.5434,1.223E-06,21.5509
6.2685,1.278E-06,21.5032,1.243E-06,21.5337,1.229E-06,21.5454,1.215E-06,21.5583
6.3315,1.269E-06,21.5106,1.241E-06,21.5349,1.257E-06,21.5211,1.224E-06,21.5501
6.3945,1.270E-06,21.5103,1.255E-06,21.5231,1.269E-06,21.5114,1.239E-06,21.5371
6.4575,1.271E-06,21.5096,1.276E-06,21.5054,1.266E-06,21.5139,1.252E-06,21.5253
6.5205,1.259E-06,21.5193,1.276E-06,21.5049,1.271E-06,21.5093,1.255E-06,21.5234
6.5835,1.255E-06,21.5232,1.255E-06,21.5233,1.266E-06,21.5137,1.252E-06,21.5257
6.6465,1.259E-06,21.5197,1.231E-06,21.5440,1.252E-06,21.5256,1.252E-06,21.5255
6.7095,1.259E-06,21.5197,1.224E-06,21.5504,1.245E-06,21.5320,1.241E-06,21.5350
6.7725,1.255E-06,21.5228,1.235E-06,21.5403,1.245E-06,21.5320,1.222E-06,21.5519
6.8355,1.249E-06,21.5279,1.243E-06,21.5337,1.236E-06,21.5400,1.226E-06,21.5486
6.8985,1.251E-06,21.5268,1.241E-06,21.5355,1.231E-06,21.5443,1.244E-06,21.5326
6.9615,1.249E-06,21.5285,1.250E-06,21.5277,1.233E-06,21.5421,1.254E-06,21.5235
7.0245,1.242E-06,21.5343,1.270E-06,21.5099,1.233E-06,21.5420,1.240E-06,21.5360
7.0875,1.241E-06,21.5355,1.292E-06,21.4919,1.242E-06,21.5342,1.237E-06,21.5386
7.1505,1.232E-06,21.5430,1.288E-06,21.4951,1.254E-06,21.5238,1.263E-06,21.5161
7.2135,1.229E-06,21.5460,1.265E-06,21.5147,1.253E-06,21.5244,1.288E-06,21.4947
7.2765,1.236E-06,21.5396,1.250E-06,21.5271,1.254E-06,21.5236,1.302E-06,21.4834
7.3395,1.253E-06,21.5245,1.238E-06,21.5380,1.268E-06,21.5120,1.285E-06,21.4976
7.4025,1.266E-06,21.5136,1.231E-06,21.5442,1.263E-06,21.5163,1.253E-06,21.5248
7.4655,1.263E-06,21.5165,1.230E-06,21.5450,1.239E-06,21.5368,1.244E-06,21.5330
7.5285,1.251E-06,21.5262,1.226E-06,21.5485,1.222E-06,21.5519,1.246E-06,21.5305
7.5915,1.246E-06,21.5310,1.224E-06,21.5499,1.215E-06,21.5585,1.252E-06,21.5259
7.6545,1.268E-06,21.5121,1.229E-06,21.5456,1.223E-06,21.5507,1.260E-06,21.5188
7.7175,1.285E-06,21.4973,1.236E-06,21.5399,1.227E-06,21.5478,1.259E-06,21.5196
7.7805,1.269E-06,21.5110,1.232E-06,21.5433,1.226E-06,21.5485,1.248E-06,21.5290
