Arcsec,Contr_0nm,Sen_0nm,Contr_2nm,Sen_2nm,Contr_5nm,Sen_5nm,Contr_10nm,Sen_10nm
1.5435,5.333E-06,19.8775,5.599E-06,19.8245,5.494E-06,19.8452,5.994E-06,19.7506
1.6065,5.038E-06,19.9391,5.183E-06,19.9084,4.965E-06,19.9550,5.755E-06,19.7948
1.6695,4.587E-06,20.0410,4.635E-06,20.0298,4.559E-06,20.0477,5.379E-06,19.8681
1.7325,4.288E-06,20.1143,4.282E-06,20.1157,4.285E-06,20.1149,5.016E-06,19.9439
1.7955,4.098E-06,20.1635,4.240E-06,20.1266,4.095E-06,20.1642,4.861E-06,19.9781
1.8585,3.866E-06,20.2266,4.223E-06,20.1307,4.050E-06,20.1762,4.708E-06,20.0127
1.9215,3.703E-06,20.2736,3.992E-06,20.1919,4.067E-06,20.1717,4.468E-06,20.0695
1.9845,3.642E-06,20.2915,3.764E-06,20.2556,4.029E-06,20.1818,4.142E-06,20.1519
2.0475,3.516E-06,20.3297,3.641E-06,20.2919,3.865E-06,20.2269,3.844E-06,20.2328
2.1105,3.320E-06,20.3921,3.430E-06,20.3568,3.578E-06,20.3108,3.676E-06,20.2813
2.1735,3.139E-06,20.4528,3.143E-06,20.4516,3.353E-06,20.3814,3.592E-06,20.3065
2.2365,2.972E-06,20.5122,2.899E-06,20.5393,3.158E-06,20.4462,3.409E-06,20.3634
2.2995,2.844E-06,20.5599,2.730E-06,20.6046,2.988E-06,20.5065,3.095E-06,20.4681
2.3625,2.784E-06,20.5830,2.623E-06,20.6477,2.882E-06,20.5457,2.757E-06,20.5938
2.4255,2.673E-06,20.6273,2.485E-06,20.7067,2.713E-06,20.6114,2.519E-06,20.6918
2.4885,2.500E-06,20.7000,2.347E-06,20.7687,2.497E-06,20.7013,2.381E-06,20.7529
2.5515,2.303E-06,20.7893,2.227E-06,20.8257,2.369E-06,20.7584,2.273E-06,20.8034
2.6145,2.148E-06,20.8650,2.121E-06,20.8784,2.309E-06,20.7861,2.179E-06,20.8490
2.6775,2.128E-06,20.8748,2.051E-06,20.9149,2.211E-06,20.8334,2.114E-06,20.8823
2.7405,2.167E-06,20.8553,2.014E-06,20.9348,2.144E-06,20.8668,2.069E-06,20.9054
2.8035,2.187E-06,20.8451,1.992E-06,20.9467,2.144E-06,20.8669,2.037E-06,20.9222
2.8665,2.161E-06,20.8580,1.968E-06,20.9596,2.100E-06,20.8892,2.043E-06,20.9193
2.9295,2.084E-06,20.8977,1.930E-06,20.9812,2.001E-06,20.9417,2.049E-06,20.9162
2.9925,1.983E-06,20.9515,1.876E-06,21.0119,1.947E-06,20.9714,2.022E-06,20.9304
3.0555,1.908E-06,20.9936,1.855E-06,21.0240,1.998E-06,20.9435,1.982E-06,20.9524
3.1185,1.907E-06,20.9939,1.884E-06,21.0072,2.015E-06,20.9343,1.954E-06,20.9673
3.1815,1.964E-06,20.9621,1.934E-06,20.9789,1.944E-06,20.9733,1.970E-06,20.9587
3.2445,1.984E-06,20.9508,1.950E-06,20.9698,1.881E-06,21.0090,1.977E-06,20.9546
3.3075,1.984E-06,20.9511,1.932E-06,20.9801,1.877E-06,21.0110,1.940E-06,20.9755
3.3705,1.981E-06,20.9525,1.908E-06,20.9933,1.886E-06,21.0057,1.901E-06,20.9972
3.4335,1.959E-06,20.9645,1.866E-06,21.0177,1.873E-06,21.0135,1.903E-06,20.9961
3.4965,1.915E-06,20.9893,1.863E-06,21.0196,1.882E-06,21.0085,1.908E-06,20.9934
3.5595,1.871E-06,21.0148,1.896E-06,21.0004,1.896E-06,21.0001,1.917E-06,20.9885
3.6225,1.880E-06,21.0093,1.919E-06,20.9873,1.887E-06,21.0057,1.959E-06,20.9645
3.6855,1.878E-06,21.0107,1.923E-06,20.9848,1.856E-06,21.0235,1.952E-06,20.9688
3.7485,1.865E-06,21.0182,1.898E-06,20.9990,1.817E-06,21.0466,1.914E-06,20.9899
3.8115,1.882E-06,21.0082,1.848E-06,21.0281,1.824E-06,21.0424,1.908E-06,20.9936
3.8745,1.912E-06,20.9909,1.807E-06,21.0524,1.856E-06,21.0234,1.874E-06,21.0131
3.9375,1.911E-06,20.9916,1.812E-06,21.0493,1.884E-06,21.0074,1.841E-06,21.0320
4.0005,1.899E-06,20.9984,1.840E-06,21.0331,1.900E-06,20.9981,1.855E-06,21.0238
4.0635,1.903E-06,20.9960,1.844E-06,21.0302,1.889E-06,21.0044,1.844E-06,21.0305
4.1265,1.902E-06,20.9968,1.803E-06,21.0551,1.845E-06,21.0297,1.793E-06,21.0609
4.1895,1.861E-06,21.0206,1.750E-06,21.0875,1.793E-06,21.0608,1.758E-06,21.0820
4.2525,1.815E-06,21.0479,1.741E-06,21.0927,1.770E-06,21.0749,1.753E-06,21.0853
4.3155,1.817E-06,21.0464,1.769E-06,21.0753,1.786E-06,21.0654,1.761E-06,21.0806
4.3785,1.820E-06,21.0450,1.788E-06,21.0639,1.786E-06,21.0653,1.765E-06,21.0777
4.4415,1.784E-06,21.0666,1.786E-06,21.0654,1.773E-06,21.0729,1.752E-06,21.0858
4.5045,1.743E-06,21.0917,1.761E-06,21.0805,1.785E-06,21.0656,1.732E-06,21.0985
4.5675,1.720E-06,21.1063,1.729E-06,21.1007,1.793E-06,21.0611,1.740E-06,21.0932
4.6305,1.721E-06,21.1052,1.697E-06,21.1204,1.792E-06,21.0614,1.762E-06,21.0801
4.6935,1.738E-06,21.0946,1.692E-06,21.1241,1.767E-06,21.0768,1.757E-06,21.0827
4.7565,1.732E-06,21.0985,1.735E-06,21.0967,1.731E-06,21.0994,1.740E-06,21.0934
4.8195,1.713E-06,21.1102,1.779E-06,21.0691,1.737E-06,21.0953,1.736E-06,21.0960
4.8825,1.709E-06,21.1129,1.771E-06,21.0742,1.770E-06,21.0750,1.740E-06,21.0937
4.9455,1.733E-06,21.0977,1.746E-06,21.0895,1.787E-06,21.0647,1.738E-06,21.0949
5.0085,1.742E-06,21.0925,1.746E-06,21.0899,1.761E-06,21.0802,1.716E-06,21.1088
5.0715,1.734E-06,21.0972,1.772E-06,21.0737,1.723E-06,21.1043,1.688E-06,21.1261
5.1345,1.734E-06,21.0972,1.794E-06,21.0600,1.730E-06,21.0999,1.703E-06,21.1168
5.1975,1.732E-06,21.0986,1.782E-06,21.0676,1.774E-06,21.0725,1.756E-06,21.0835
5.2605,1.732E-06,21.0986,1.749E-06,21.0879,1.786E-06,21.0652,1.772E-06,21.0735
5.3235,1.737E-06,21.0955,1.709E-06,21.1131,1.753E-06,21.0854,1.744E-06,21.0909
5.3865,1.736E-06,21.0958,1.694E-06,21.1223,1.733E-06,21.0978,1.727E-06,21.1015
5.4495,1.727E-06,21.1013,1.732E-06,21.0987,1.728E-06,21.1013,1.728E-06,21.1013
5.5125,1.720E-06,21.1058,1.767E-06,21.0770,1.712E-06,21.1109,1.732E-06,21.0986
5.5755,1.712E-06,21.1109,1.747E-06,21.0889,1.688E-06,21.1263,1.731E-06,21.0993
5.6385,1.711E-06,21.1117,1.711E-06,21.1116,1.678E-06,21.1326,1.727E-06,21.1018
5.7015,1.716E-06,21.1084,1.697E-06,21.1209,1.692E-06,21.1237,1.725E-06,21.1027
5.7645,1.723E-06,21.1039,1.690E-06,21.1254,1.693E-06,21.1230,1.725E-06,21.1028
5.8275,1.716E-06,21.1088,1.680E-06,21.1318,1.677E-06,21.1334,1.721E-06,21.1052
5.8905,1.731E-06,21.0990,1.687E-06,21.1272,1.667E-06,21.1400,1.686E-06,21.1280
5.9535,1.752E-06,21.0860,1.697E-06,21.1210,1.670E-06,21.1382,1.649E-06,21.1515
6.0165,1.734E-06,21.0972,1.710E-06,21.1121,1.699E-06,21.1191,1.679E-06,21.1319
6.0795,1.727E-06,21.1013,1.716E-06,21.1088,1.723E-06,21.1039,1.722E-06,21.1051
6.1425,1.726E-06,21.1020,1.710E-06,21.1127,1.727E-06,21.1015,1.734E-06,21.0972
6.2055,1.729E-06,21.1006,1.719E-06,21.1065,1.736E-06,21.0962,1.718E-06,21.1074
6.2685,1.723E-06,21.1040,1.737E-06,21.0954,1.746E-06,21.0898,1.666E-06,21.1410
6.3315,1.682E-06,21.1301,1.723E-06,21.1044,1.746E-06,21.0898,1.623E-06,21.1688
6.3945,1.654E-06,21.1484,1.700E-06,21.1186,1.751E-06,21.0868,1.645E-06,21.1546
6.4575,1.679E-06,21.1321,1.708E-06,21.1137,1.756E-06,21.0833,1.686E-06,21.1275
6.5205,1.731E-06,21.0990,1.710E-06,21.1122,1.746E-06,21.0894,1.699E-06,21.1196
6.5835,1.747E-06,21.0890,1.699E-06,21.1194,1.751E-06,21.0867,1.707E-06,21.1144
6.6465,1.713E-06,21.1107,1.702E-06,21.1176,1.758E-06,21.0820,1.703E-06,21.1167
6.7095,1.705E-06,21.1156,1.703E-06,21.1168,1.728E-06,21.1009,1.666E-06,21.1403
6.7725,1.722E-06,21.1045,1.707E-06,21.1142,1.704E-06,21.1162,1.648E-06,21.1525
6.8355,1.705E-06,21.1154,1.741E-06,21.0928,1.682E-06,21.1301,1.679E-06,21.1325
6.8985,1.680E-06,21.1316,1.765E-06,21.0780,1.664E-06,21.1418,1.714E-06,21.1097
6.9615,1.681E-06,21.1311,1.741E-06,21.0931,1.677E-06,21.1337,1.714E-06,21.1096
7.0245,1.702E-06,21.1174,1.704E-06,21.1163,1.695E-06,21.1218,1.710E-06,21.1123
7.0875,1.729E-06,21.1007,1.679E-06,21.1325,1.713E-06,21.1106,1.705E-06,21.1155
7.1505,1.733E-06,21.0976,1.679E-06,21.1325,1.726E-06,21.1023,1.679E-06,21.1320
7.2135,1.729E-06,21.1002,1.686E-06,21.1280,1.713E-06,21.1106,1.672E-06,21.1370
7.2765,1.720E-06,21.1058,1.690E-06,21.1254,1.697E-06,21.1206,1.674E-06,21.1356
7.3395,1.701E-06,21.1181,1.694E-06,21.1225,1.669E-06,21.1385,1.667E-06,21.1403
7.4025,1.690E-06,21.1249,1.695E-06,21.1219,1.646E-06,21.1540,1.666E-06,21.1407
7.4655,1.684E-06,21.1290,1.692E-06,21.1238,1.659E-06,21.1450,1.667E-06,21.1402
7.5285,1.688E-06,21.1264,1.683E-06,21.1296,1.693E-06,21.1232,1.677E-06,21.1338
7.5915,1.705E-06,21.1156,1.686E-06,21.1275,1.702E-06,21.1174,1.707E-06,21.1145
