Arcsec,Contr_0nm,Sen_0nm,Contr_2nm,Sen_2nm,Contr_5nm,Sen_5nm,Contr_10nm,Sen_10nm
1.5435,1.971E-05,21.1188,2.252E-05,20.9739,2.145E-05,21.0267,2.184E-05,21.0073
1.6065,1.896E-05,21.1608,2.047E-05,21.0773,1.982E-05,21.1125,2.047E-05,21.0776
1.6695,1.889E-05,21.1648,1.959E-05,21.1254,1.906E-05,21.1548,1.967E-05,21.1205
1.7325,1.879E-05,21.1707,1.892E-05,21.1630,1.859E-05,21.1820,1.850E-05,21.1872
1.7955,1.847E-05,21.1892,1.779E-05,21.2296,1.807E-05,21.2129,1.753E-05,21.2456
1.8585,1.761E-05,21.2409,1.740E-05,21.2536,1.738E-05,21.2552,1.743E-05,21.2520
1.9215,1.646E-05,21.3140,1.721E-05,21.2657,1.690E-05,21.2854,1.715E-05,21.2696
1.9845,1.572E-05,21.3644,1.648E-05,21.3126,1.653E-05,21.3099,1.637E-05,21.3201
2.0475,1.524E-05,21.3976,1.564E-05,21.3696,1.577E-05,21.3604,1.563E-05,21.3706
2.1105,1.453E-05,21.4499,1.509E-05,21.4084,1.510E-05,21.4080,1.524E-05,21.3978
2.1735,1.405E-05,21.4857,1.472E-05,21.4355,1.470E-05,21.4369,1.524E-05,21.3980
2.2365,1.395E-05,21.4939,1.407E-05,21.4842,1.457E-05,21.4464,1.522E-05,21.3991
2.2995,1.383E-05,21.5031,1.373E-05,21.5113,1.464E-05,21.4414,1.485E-05,21.4258
2.3625,1.383E-05,21.5028,1.406E-05,21.4852,1.457E-05,21.4464,1.433E-05,21.4648
2.4255,1.380E-05,21.5059,1.421E-05,21.4740,1.429E-05,21.4675,1.387E-05,21.5001
2.4885,1.368E-05,21.5147,1.397E-05,21.4922,1.385E-05,21.5015,1.358E-05,21.5228
2.5515,1.356E-05,21.5250,1.369E-05,21.5143,1.358E-05,21.5226,1.346E-05,21.5330
2.6145,1.334E-05,21.5423,1.347E-05,21.5317,1.360E-05,21.5214,1.348E-05,21.5307
2.6775,1.314E-05,21.5587,1.345E-05,21.5330,1.360E-05,21.5215,1.391E-05,21.4973
2.7405,1.325E-05,21.5498,1.374E-05,21.5105,1.353E-05,21.5267,1.402E-05,21.4886
2.8035,1.339E-05,21.5380,1.394E-05,21.4947,1.328E-05,21.5472,1.362E-05,21.5194
2.8665,1.352E-05,21.5279,1.386E-05,21.5009,1.308E-05,21.5639,1.350E-05,21.5297
2.9295,1.378E-05,21.5070,1.406E-05,21.4853,1.314E-05,21.5585,1.350E-05,21.5296
2.9925,1.421E-05,21.4737,1.429E-05,21.4679,1.334E-05,21.5425,1.348E-05,21.5311
3.0555,1.444E-05,21.4561,1.395E-05,21.4942,1.351E-05,21.5286,1.347E-05,21.5315
3.1185,1.408E-05,21.4841,1.356E-05,21.5243,1.340E-05,21.5372,1.349E-05,21.5300
3.1815,1.359E-05,21.5225,1.350E-05,21.5292,1.298E-05,21.5725,1.335E-05,21.5412
3.2445,1.329E-05,21.5464,1.336E-05,21.5406,1.275E-05,21.5912,1.309E-05,21.5631
3.3075,1.323E-05,21.5511,1.323E-05,21.5516,1.316E-05,21.5570,1.290E-05,21.5789
3.3705,1.330E-05,21.5453,1.315E-05,21.5578,1.342E-05,21.5360,1.296E-05,21.5736
3.4335,1.337E-05,21.5399,1.316E-05,21.5575,1.317E-05,21.5562,1.328E-05,21.5469
3.4965,1.356E-05,21.5246,1.340E-05,21.5373,1.294E-05,21.5752,1.367E-05,21.5157
3.5595,1.391E-05,21.4968,1.357E-05,21.5240,1.280E-05,21.5869,1.369E-05,21.5146
3.6225,1.406E-05,21.4857,1.355E-05,21.5253,1.270E-05,21.5958,1.342E-05,21.5358
3.6855,1.386E-05,21.5009,1.357E-05,21.5237,1.283E-05,21.5845,1.328E-05,21.5473
3.7485,1.360E-05,21.5215,1.350E-05,21.5293,1.338E-05,21.5390,1.330E-05,21.5454
3.8115,1.351E-05,21.5286,1.322E-05,21.5524,1.383E-05,21.5030,1.325E-05,21.5501
3.8745,1.351E-05,21.5288,1.284E-05,21.5837,1.377E-05,21.5083,1.323E-05,21.5509
3.9375,1.349E-05,21.5301,1.280E-05,21.5869,1.334E-05,21.5422,1.338E-05,21.5391
4.0005,1.343E-05,21.5350,1.316E-05,21.5575,1.299E-05,21.5716,1.332E-05,21.5436
4.0635,1.317E-05,21.5563,1.327E-05,21.5478,1.299E-05,21.5711,1.307E-05,21.5644
4.1265,1.280E-05,21.5871,1.330E-05,21.5458,1.316E-05,21.5574,1.309E-05,21.5629
4.1895,1.276E-05,21.5904,1.353E-05,21.5273,1.314E-05,21.5590,1.330E-05,21.5460
4.2525,1.308E-05,21.5637,1.383E-05,21.5029,1.301E-05,21.5698,1.345E-05,21.5334
4.3155,1.331E-05,21.5450,1.393E-05,21.4957,1.310E-05,21.5622,1.367E-05,21.5156
4.3785,1.345E-05,21.5337,1.375E-05,21.5095,1.322E-05,21.5524,1.402E-05,21.4886
4.4415,1.340E-05,21.5377,1.343E-05,21.5351,1.322E-05,21.5519,1.392E-05,21.4962
4.5045,1.327E-05,21.5482,1.330E-05,21.5458,1.334E-05,21.5420,1.350E-05,21.5290
4.5675,1.333E-05,21.5429,1.352E-05,21.5280,1.343E-05,21.5349,1.341E-05,21.5365
4.6305,1.355E-05,21.5254,1.383E-05,21.5033,1.340E-05,21.5373,1.346E-05,21.5327
4.6935,1.375E-05,21.5095,1.386E-05,21.5005,1.335E-05,21.5414,1.340E-05,21.5377
4.7565,1.372E-05,21.5115,1.365E-05,21.5174,1.327E-05,21.5482,1.341E-05,21.5371
4.8195,1.358E-05,21.5228,1.345E-05,21.5331,1.319E-05,21.5549,1.330E-05,21.5459
4.8825,1.355E-05,21.5256,1.322E-05,21.5519,1.306E-05,21.5654,1.308E-05,21.5633
4.9455,1.339E-05,21.5381,1.314E-05,21.5591,1.299E-05,21.5714,1.307E-05,21.5648
5.0085,1.321E-05,21.5531,1.334E-05,21.5425,1.302E-05,21.5685,1.314E-05,21.5588
5.0715,1.324E-05,21.5505,1.331E-05,21.5449,1.302E-05,21.5691,1.310E-05,21.5621
5.1345,1.334E-05,21.5426,1.316E-05,21.5573,1.323E-05,21.5513,1.316E-05,21.5574
5.1975,1.340E-05,21.5374,1.324E-05,21.5505,1.348E-05,21.5306,1.336E-05,21.5409
5.2605,1.349E-05,21.5301,1.323E-05,21.5514,1.342E-05,21.5358,1.367E-05,21.5162
5.3235,1.354E-05,21.5262,1.301E-05,21.5696,1.322E-05,21.5524,1.375E-05,21.5097
5.3865,1.341E-05,21.5364,1.275E-05,21.5915,1.305E-05,21.5661,1.344E-05,21.5345
5.4495,1.320E-05,21.5537,1.280E-05,21.5872,1.304E-05,21.5669,1.330E-05,21.5454
5.5125,1.304E-05,21.5669,1.324E-05,21.5503,1.311E-05,21.5611,1.338E-05,21.5389
5.5755,1.292E-05,21.5772,1.352E-05,21.5275,1.311E-05,21.5614,1.325E-05,21.5497
5.6385,1.291E-05,21.5778,1.358E-05,21.5226,1.302E-05,21.5683,1.319E-05,21.5549
5.7015,1.312E-05,21.5605,1.360E-05,21.5216,1.296E-05,21.5739,1.334E-05,21.5428
5.7645,1.326E-05,21.5489,1.345E-05,21.5335,1.295E-05,21.5743,1.353E-05,21.5272
5.8275,1.320E-05,21.5542,1.342E-05,21.5356,1.285E-05,21.5834,1.338E-05,21.5389
5.8905,1.296E-05,21.5736,1.352E-05,21.5282,1.274E-05,21.5922,1.313E-05,21.5593
5.9535,1.279E-05,21.5877,1.334E-05,21.5424,1.268E-05,21.5972,1.321E-05,21.5528
6.0165,1.299E-05,21.5715,1.312E-05,21.5600,1.260E-05,21.6044,1.321E-05,21.5531
6.0795,1.331E-05,21.5448,1.322E-05,21.5526,1.263E-05,21.6015,1.304E-05,21.5670
6.1425,1.337E-05,21.5402,1.337E-05,21.5398,1.283E-05,21.5846,1.311E-05,21.5610
6.2055,1.332E-05,21.5440,1.349E-05,21.5306,1.302E-05,21.5689,1.324E-05,21.5504
6.2685,1.326E-05,21.5490,1.345E-05,21.5336,1.307E-05,21.5643,1.321E-05,21.5527
6.3315,1.319E-05,21.5543,1.330E-05,21.5454,1.297E-05,21.5728,1.316E-05,21.5569
6.3945,1.323E-05,21.5515,1.332E-05,21.5444,1.302E-05,21.5686,1.314E-05,21.5584
6.4575,1.319E-05,21.5543,1.320E-05,21.5536,1.320E-05,21.5537,1.311E-05,21.5614
6.5205,1.315E-05,21.5576,1.317E-05,21.5565,1.324E-05,21.5503,1.310E-05,21.5617
6.5835,1.305E-05,21.5663,1.328E-05,21.5476,1.320E-05,21.5540,1.319E-05,21.5548
6.6465,1.294E-05,21.5757,1.331E-05,21.5451,1.299E-05,21.5708,1.319E-05,21.5547
6.7095,1.288E-05,21.5804,1.333E-05,21.5430,1.290E-05,21.5786,1.318E-05,21.5555
6.7725,1.301E-05,21.5696,1.349E-05,21.5299,1.314E-05,21.5587,1.319E-05,21.5549
6.8355,1.333E-05,21.5430,1.349E-05,21.5301,1.325E-05,21.5494,1.318E-05,21.5555
6.8985,1.353E-05,21.5270,1.330E-05,21.5456,1.313E-05,21.5592,1.315E-05,21.5581
6.9615,1.351E-05,21.5284,1.322E-05,21.5518,1.315E-05,21.5576,1.314E-05,21.5590
7.0245,1.345E-05,21.5334,1.339E-05,21.5381,1.317E-05,21.5562,1.307E-05,21.5645
7.0875,1.335E-05,21.5414,1.354E-05,21.5265,1.306E-05,21.5654,1.292E-05,21.5773
7.1505,1.322E-05,21.5521,1.347E-05,21.5315,1.298E-05,21.5724,1.281E-05,21.5864
7.2135,1.301E-05,21.5698,1.334E-05,21.5425,1.299E-05,21.5710,1.280E-05,21.5868
7.2765,1.300E-05,21.5705,1.319E-05,21.5546,1.297E-05,21.5733,1.287E-05,21.5814
7.3395,1.331E-05,21.5445,1.311E-05,21.5614,1.300E-05,21.5704,1.309E-05,21.5633
7.4025,1.353E-05,21.5273,1.309E-05,21.5628,1.312E-05,21.5606,1.325E-05,21.5500
7.4655,1.347E-05,21.5316,1.300E-05,21.5701,1.318E-05,21.5558,1.309E-05,21.5627
7.5285,1.327E-05,21.5480,1.293E-05,21.5763,1.311E-05,21.5610,1.280E-05,21.5872
7.5915,1.319E-05,21.5547,1.295E-05,21.5745,1.304E-05,21.5672,1.267E-05,21.5984
7.6545,1.321E-05,21.5530,1.301E-05,21.5692,1.316E-05,21.5571,1.287E-05,21.5811
7.7175,1.330E-05,21.5455,1.311E-05,21.5616,1.330E-05,21.5458,1.326E-05,21.5489
7.7805,1.333E-05,21.5429,1.302E-05,21.5684,1.323E-05,21.5516,1.353E-05,21.5272
7.8435,1.326E-05,21.5487,1.296E-05,21.5734,1.307E-05,21.5648,1.349E-05,21.5305
7.9065,1.326E-05,21.5486,1.315E-05,21.5579,1.292E-05,21.5770,1.334E-05,21.5420
7.9695,1.338E-05,21.5395,1.344E-05,21.5339,1.286E-05,21.5825,1.329E-05,21.5467
8.0325,1.338E-05,21.5389,1.359E-05,21.5225,1.286E-05,21.5821,1.321E-05,21.5530
8.0955,1.314E-05,21.5591,1.354E-05,21.5261,1.293E-05,21.5759,1.327E-05,21.5485
8.1585,1.290E-05,21.5784,1.344E-05,21.5342,1.304E-05,21.5667,1.330E-05,21.5453
8.2215,1.299E-05,21.5713,1.332E-05,21.5440,1.311E-05,21.5612,1.295E-05,21.5742
8.2845,1.316E-05,21.5567,1.314E-05,21.5585,1.308E-05,21.5637,1.263E-05,21.6017
8.3475,1.316E-05,21.5572,1.309E-05,21.5627,1.299E-05,21.5714,1.277E-05,21.5900
8.4105,1.313E-05,21.5597,1.323E-05,21.5510,1.306E-05,21.5656,1.293E-05,21.5766
8.4735,1.319E-05,21.5548,1.332E-05,21.5439,1.329E-05,21.5467,1.286E-05,21.5822
8.5365,1.327E-05,21.5482,1.320E-05,21.5538,1.338E-05,21.5391,1.275E-05,21.5913
8.5995,1.325E-05,21.5495,1.296E-05,21.5737,1.339E-05,21.5382,1.271E-05,21.5950
8.6625,1.306E-05,21.5652,1.297E-05,21.5731,1.347E-05,21.5319,1.283E-05,21.5845
8.7255,1.283E-05,21.5851,1.323E-05,21.5517,1.333E-05,21.5430,1.307E-05,21.5644
8.7885,1.272E-05,21.5937,1.337E-05,21.5396,1.303E-05,21.5676,1.324E-05,21.5507
8.8515,1.289E-05,21.5793,1.341E-05,21.5370,1.296E-05,21.5735,1.334E-05,21.5420
8.9145,1.320E-05,21.5536,1.326E-05,21.5490,1.303E-05,21.5681,1.346E-05,21.5324
8.9775,1.335E-05,21.5420,1.314E-05,21.5588,1.304E-05,21.5667,1.351E-05,21.5289
9.0405,1.342E-05,21.5362,1.322E-05,21.5521,1.307E-05,21.5649,1.344E-05,21.5341
9.1035,1.346E-05,21.5325,1.327E-05,21.5484,1.312E-05,21.5608,1.335E-05,21.5415
9.1665,1.347E-05,21.5319,1.329E-05,21.5461,1.315E-05,21.5576,1.320E-05,21.5538
9.2295,1.332E-05,21.5437,1.348E-05,21.5310,1.322E-05,21.5518,1.297E-05,21.5729
9.2925,1.311E-05,21.5615,1.373E-05,21.5113,1.327E-05,21.5484,1.284E-05,21.5837
9.3555,1.309E-05,21.5628,1.378E-05,21.5072,1.330E-05,21.5458,1.286E-05,21.5823
9.4185,1.317E-05,21.5565,1.362E-05,21.5200,1.333E-05,21.5434,1.301E-05,21.5692
9.4815,1.316E-05,21.5570,1.346E-05,21.5322,1.324E-05,21.5502,1.316E-05,21.5568
