Arcsec,Contr_0nm,Sen_0nm,Contr_2nm,Sen_2nm,Contr_5nm,Sen_5nm,Contr_10nm,Sen_10nm
1.5435,6.078E-05,19.8450,6.215E-05,19.8207,6.644E-05,19.7483,6.348E-05,19.7977
1.6065,6.259E-05,19.8131,6.248E-05,19.8150,6.348E-05,19.7977,6.140E-05,19.8339
1.6695,6.484E-05,19.7747,6.557E-05,19.7625,6.196E-05,19.8241,6.200E-05,19.8234
1.7325,6.530E-05,19.7671,6.795E-05,19.7238,6.294E-05,19.8070,6.419E-05,19.7856
1.7955,6.518E-05,19.7691,6.677E-05,19.7429,6.419E-05,19.7856,6.468E-05,19.7774
1.8585,6.519E-05,19.7689,6.275E-05,19.8102,6.559E-05,19.7622,6.391E-05,19.7904
1.9215,6.349E-05,19.7975,6.037E-05,19.8523,6.629E-05,19.7507,6.308E-05,19.8046
1.9845,6.227E-05,19.8186,6.186E-05,19.8258,6.590E-05,19.7572,6.103E-05,19.8405
2.0475,6.189E-05,19.8253,6.308E-05,19.8047,6.605E-05,19.7547,5.912E-05,19.8749
2.1105,6.091E-05,19.8425,6.275E-05,19.8103,6.601E-05,19.7553,6.002E-05,19.8586
2.1735,6.016E-05,19.8560,6.142E-05,19.8335,6.463E-05,19.7782,6.140E-05,19.8340
2.2365,5.993E-05,19.8603,6.014E-05,19.8565,6.325E-05,19.8016,6.099E-05,19.8412
2.2995,5.930E-05,19.8718,6.080E-05,19.8447,6.328E-05,19.8012,6.129E-05,19.8359
2.3625,5.955E-05,19.8671,6.181E-05,19.8267,6.413E-05,19.7866,6.374E-05,19.7934
2.4255,6.066E-05,19.8470,6.150E-05,19.8322,6.341E-05,19.7990,6.465E-05,19.7780
2.4885,6.038E-05,19.8522,6.048E-05,19.8503,6.163E-05,19.8299,6.206E-05,19.8223
2.5515,5.933E-05,19.8712,6.099E-05,19.8412,6.065E-05,19.8473,5.858E-05,19.8850
2.6145,5.828E-05,19.8905,6.251E-05,19.8144,5.960E-05,19.8663,5.596E-05,19.9346
2.6775,5.766E-05,19.9021,6.096E-05,19.8417,5.848E-05,19.8868,5.523E-05,19.9488
2.7405,5.772E-05,19.9010,5.840E-05,19.8882,5.793E-05,19.8970,5.667E-05,19.9209
2.8035,5.923E-05,19.8730,5.811E-05,19.8937,5.769E-05,19.9016,5.809E-05,19.8941
2.8665,6.016E-05,19.8561,5.886E-05,19.8797,5.725E-05,19.9099,5.893E-05,19.8786
2.9295,5.994E-05,19.8600,5.917E-05,19.8740,5.612E-05,19.9316,5.934E-05,19.8710
2.9925,6.032E-05,19.8531,5.883E-05,19.8804,5.616E-05,19.9307,5.809E-05,19.8941
3.0555,6.021E-05,19.8552,5.896E-05,19.8780,5.810E-05,19.8938,5.670E-05,19.9204
3.1185,5.940E-05,19.8698,5.889E-05,19.8792,6.006E-05,19.8578,5.713E-05,19.9122
3.1815,6.018E-05,19.8558,5.781E-05,19.8994,6.081E-05,19.8445,5.682E-05,19.9181
3.2445,6.101E-05,19.8409,5.693E-05,19.9159,6.083E-05,19.8440,5.554E-05,19.9429
3.3075,6.008E-05,19.8575,5.703E-05,19.9141,5.954E-05,19.8673,5.630E-05,19.9280
3.3705,5.895E-05,19.8781,5.651E-05,19.9240,5.735E-05,19.9080,5.808E-05,19.8943
3.4335,5.826E-05,19.8909,5.579E-05,19.9380,5.755E-05,19.9043,5.912E-05,19.8749
3.4965,5.840E-05,19.8883,5.632E-05,19.9277,5.980E-05,19.8625,5.985E-05,19.8617
3.5595,5.832E-05,19.8899,5.751E-05,19.9049,6.191E-05,19.8249,5.988E-05,19.8612
3.6225,5.785E-05,19.8986,5.811E-05,19.8937,6.267E-05,19.8116,5.897E-05,19.8779
3.6855,5.736E-05,19.9078,5.795E-05,19.8967,6.190E-05,19.8252,5.754E-05,19.9045
3.7485,5.770E-05,19.9014,5.736E-05,19.9078,6.062E-05,19.8479,5.634E-05,19.9272
3.8115,5.805E-05,19.8948,5.791E-05,19.8975,6.049E-05,19.8502,5.718E-05,19.9112
3.8745,5.869E-05,19.8830,5.931E-05,19.8716,6.025E-05,19.8545,5.844E-05,19.8876
3.9375,5.979E-05,19.8628,5.975E-05,19.8634,5.995E-05,19.8598,5.963E-05,19.8657
4.0005,6.111E-05,19.8390,5.879E-05,19.8810,6.109E-05,19.8394,6.057E-05,19.8486
4.0635,6.103E-05,19.8405,5.786E-05,19.8983,6.215E-05,19.8207,6.095E-05,19.8419
4.1265,5.974E-05,19.8637,5.806E-05,19.8947,6.136E-05,19.8346,6.181E-05,19.8266
4.1895,5.947E-05,19.8686,5.756E-05,19.9040,5.950E-05,19.8680,6.188E-05,19.8255
4.2525,5.859E-05,19.8848,5.675E-05,19.9194,5.834E-05,19.8894,6.035E-05,19.8526
4.3155,5.728E-05,19.9094,5.685E-05,19.9175,5.869E-05,19.8829,5.882E-05,19.8806
4.3785,5.825E-05,19.8910,5.829E-05,19.8904,5.894E-05,19.8784,5.846E-05,19.8872
4.4415,5.975E-05,19.8635,5.991E-05,19.8606,5.939E-05,19.8700,5.818E-05,19.8924
4.5045,5.988E-05,19.8612,6.105E-05,19.8401,6.074E-05,19.8457,5.811E-05,19.8938
4.5675,5.943E-05,19.8694,6.142E-05,19.8335,6.091E-05,19.8426,5.814E-05,19.8932
4.6305,5.848E-05,19.8868,6.003E-05,19.8585,6.010E-05,19.8571,5.757E-05,19.9038
4.6935,5.873E-05,19.8822,5.768E-05,19.9018,6.038E-05,19.8521,5.777E-05,19.9002
4.7565,6.034E-05,19.8529,5.600E-05,19.9338,6.138E-05,19.8342,5.877E-05,19.8815
4.8195,6.043E-05,19.8511,5.590E-05,19.9358,6.079E-05,19.8447,5.894E-05,19.8783
4.8825,5.826E-05,19.8909,5.664E-05,19.9216,5.915E-05,19.8745,5.928E-05,19.8720
4.9455,5.637E-05,19.9266,5.715E-05,19.9118,5.852E-05,19.8860,5.968E-05,19.8648
5.0085,5.726E-05,19.9098,5.831E-05,19.8899,5.905E-05,19.8763,5.953E-05,19.8675
5.0715,5.924E-05,19.8729,5.991E-05,19.8605,5.978E-05,19.8629,5.862E-05,19.8842
5.1345,6.012E-05,19.8568,6.052E-05,19.8497,6.036E-05,19.8524,5.823E-05,19.8915
5.1975,6.033E-05,19.8530,6.051E-05,19.8497,6.021E-05,19.8551,5.913E-05,19.8748
5.2605,5.958E-05,19.8667,6.054E-05,19.8492,5.954E-05,19.8674,5.898E-05,19.8776
5.3235,5.820E-05,19.8921,5.966E-05,19.8652,5.832E-05,19.8899,5.731E-05,19.9088
5.3865,5.669E-05,19.9205,5.900E-05,19.8772,5.772E-05,19.9011,5.629E-05,19.9282
5.4495,5.590E-05,19.9358,5.917E-05,19.8742,5.788E-05,19.8980,5.694E-05,19.9159
5.5125,5.676E-05,19.9192,5.960E-05,19.8663,5.847E-05,19.8870,5.782E-05,19.8991
5.5755,5.840E-05,19.8882,6.020E-05,19.8554,5.922E-05,19.8731,5.807E-05,19.8944
5.6385,5.907E-05,19.8760,5.962E-05,19.8659,5.934E-05,19.8710,5.859E-05,19.8847
5.7015,5.874E-05,19.8820,5.771E-05,19.9012,5.980E-05,19.8625,5.959E-05,19.8664
5.7645,5.780E-05,19.8996,5.663E-05,19.9218,6.125E-05,19.8366,6.067E-05,19.8469
5.8275,5.749E-05,19.9053,5.733E-05,19.9083,6.157E-05,19.8309,6.006E-05,19.8579
5.8905,5.847E-05,19.8870,5.885E-05,19.8799,6.025E-05,19.8544,5.820E-05,19.8921
5.9535,5.878E-05,19.8812,5.928E-05,19.8721,5.864E-05,19.8839,5.824E-05,19.8913
6.0165,5.786E-05,19.8984,5.912E-05,19.8750,5.876E-05,19.8817,5.997E-05,19.8595
6.0795,5.733E-05,19.9085,5.944E-05,19.8691,6.044E-05,19.8510,6.063E-05,19.8476
6.1425,5.785E-05,19.8985,5.964E-05,19.8655,6.091E-05,19.8426,5.946E-05,19.8688
6.2055,5.886E-05,19.8798,5.879E-05,19.8811,6.005E-05,19.8581,5.880E-05,19.8808
6.2685,5.871E-05,19.8825,5.692E-05,19.9161,5.874E-05,19.8819,5.909E-05,19.8756
6.3315,5.762E-05,19.9029,5.590E-05,19.9358,5.823E-05,19.8915,5.986E-05,19.8615
6.3945,5.729E-05,19.9091,5.704E-05,19.9138,5.936E-05,19.8706,6.017E-05,19.8558
6.4575,5.734E-05,19.9082,5.857E-05,19.8852,6.003E-05,19.8584,6.001E-05,19.8588
6.5205,5.693E-05,19.9159,5.926E-05,19.8724,5.936E-05,19.8705,6.008E-05,19.8575
6.5835,5.648E-05,19.9245,5.971E-05,19.8642,5.893E-05,19.8785,6.013E-05,19.8565
6.6465,5.682E-05,19.9182,5.940E-05,19.8699,5.794E-05,19.8969,5.963E-05,19.8657
6.7095,5.869E-05,19.8830,5.869E-05,19.8829,5.651E-05,19.9241,5.913E-05,19.8749
6.7725,6.016E-05,19.8560,5.874E-05,19.8820,5.658E-05,19.9227,5.916E-05,19.8743
6.8355,5.976E-05,19.8634,5.920E-05,19.8736,5.758E-05,19.9037,5.956E-05,19.8669
6.8985,5.894E-05,19.8783,5.945E-05,19.8690,5.831E-05,19.8899,6.047E-05,19.8504
6.9615,5.858E-05,19.8851,5.923E-05,19.8730,5.870E-05,19.8828,6.137E-05,19.8344
7.0245,5.842E-05,19.8879,5.913E-05,19.8749,5.854E-05,19.8857,6.098E-05,19.8414
7.0875,5.819E-05,19.8923,5.894E-05,19.8783,5.788E-05,19.8981,6.022E-05,19.8550
7.1505,5.831E-05,19.8901,5.891E-05,19.8789,5.757E-05,19.9039,6.042E-05,19.8514
7.2135,5.864E-05,19.8838,5.949E-05,19.8682,5.750E-05,19.9051,6.011E-05,19.8570
7.2765,5.852E-05,19.8861,6.021E-05,19.8552,5.706E-05,19.9135,5.896E-05,19.8780
7.3395,5.845E-05,19.8874,6.013E-05,19.8565,5.667E-05,19.9210,5.848E-05,19.8869
7.4025,5.867E-05,19.8832,5.910E-05,19.8753,5.739E-05,19.9072,5.860E-05,19.8846
7.4655,5.830E-05,19.8902,5.844E-05,19.8876,5.838E-05,19.8888,5.897E-05,19.8777
7.5285,5.822E-05,19.8917,5.872E-05,19.8824,5.849E-05,19.8867,5.973E-05,19.8638
7.5915,5.889E-05,19.8792,5.903E-05,19.8767,5.834E-05,19.8894,6.058E-05,19.8485
