Arcsec,Contr_0nm,Sen_0nm,Contr_2nm,Sen_2nm,Contr_5nm,Sen_5nm,Contr_10nm,Sen_10nm
1.5435,4.823E-06,19.9375,4.948E-06,19.9097,5.338E-06,19.8274,6.050E-06,19.6915
1.6065,4.781E-06,19.9471,4.818E-06,19.9388,5.047E-06,19.8883,5.817E-06,19.7342
1.6695,4.621E-06,19.9841,4.518E-06,20.0086,4.588E-06,19.9917,5.562E-06,19.7828
1.7325,4.408E-06,20.0351,4.265E-06,20.0710,4.220E-06,20.0826,5.295E-06,19.8362
1.7955,4.246E-06,20.0759,4.151E-06,20.1005,4.060E-06,20.1244,5.022E-06,19.8937
1.8585,4.027E-06,20.1334,4.111E-06,20.1110,3.982E-06,20.1456,4.659E-06,19.9752
1.9215,3.791E-06,20.1990,4.068E-06,20.1225,4.000E-06,20.1407,4.211E-06,20.0848
1.9845,3.521E-06,20.2793,3.890E-06,20.1710,3.896E-06,20.1692,3.927E-06,20.1608
2.0475,3.336E-06,20.3378,3.702E-06,20.2249,3.619E-06,20.2494,3.845E-06,20.1836
2.1105,3.319E-06,20.3435,3.560E-06,20.2673,3.375E-06,20.3251,3.666E-06,20.2352
2.1735,3.286E-06,20.3543,3.396E-06,20.3185,3.185E-06,20.3880,3.413E-06,20.3131
2.2365,3.134E-06,20.4055,3.198E-06,20.3836,2.990E-06,20.4567,3.121E-06,20.4101
2.2995,2.986E-06,20.4581,2.948E-06,20.4720,2.796E-06,20.5294,2.879E-06,20.4977
2.3625,2.857E-06,20.5061,2.718E-06,20.5604,2.657E-06,20.5850,2.783E-06,20.5347
2.4255,2.687E-06,20.5726,2.548E-06,20.6305,2.584E-06,20.6153,2.687E-06,20.5726
2.4885,2.483E-06,20.6582,2.388E-06,20.7005,2.481E-06,20.6593,2.512E-06,20.6460
2.5515,2.290E-06,20.7464,2.260E-06,20.7608,2.324E-06,20.7304,2.305E-06,20.7391
2.6145,2.172E-06,20.8038,2.163E-06,20.8084,2.192E-06,20.7940,2.190E-06,20.7949
2.6775,2.118E-06,20.8310,2.080E-06,20.8506,2.131E-06,20.8242,2.171E-06,20.8042
2.7405,2.077E-06,20.8523,2.030E-06,20.8769,2.091E-06,20.8452,2.139E-06,20.8204
2.8035,2.029E-06,20.8774,1.993E-06,20.8972,2.055E-06,20.8639,2.051E-06,20.8662
2.8665,1.994E-06,20.8963,1.966E-06,20.9120,2.059E-06,20.8618,2.007E-06,20.8893
2.9295,1.982E-06,20.9033,1.944E-06,20.9239,2.038E-06,20.8726,2.000E-06,20.8932
2.9925,1.989E-06,20.8991,1.930E-06,20.9321,1.969E-06,20.9104,1.996E-06,20.8957
3.0555,1.988E-06,20.8999,1.939E-06,20.9272,1.933E-06,20.9301,1.980E-06,20.9042
3.1185,1.954E-06,20.9188,1.957E-06,20.9167,1.940E-06,20.9262,1.943E-06,20.9247
3.1815,1.941E-06,20.9255,1.948E-06,20.9220,1.953E-06,20.9194,1.939E-06,20.9269
3.2445,1.934E-06,20.9295,1.920E-06,20.9379,1.956E-06,20.9176,1.974E-06,20.9075
3.3075,1.895E-06,20.9520,1.879E-06,20.9611,1.909E-06,20.9439,2.033E-06,20.8757
3.3705,1.846E-06,20.9805,1.841E-06,20.9832,1.841E-06,20.9833,2.047E-06,20.8682
3.4335,1.831E-06,20.9893,1.848E-06,20.9792,1.855E-06,20.9748,1.992E-06,20.8975
3.4965,1.849E-06,20.9784,1.855E-06,20.9752,1.908E-06,20.9442,1.934E-06,20.9297
3.5595,1.872E-06,20.9653,1.859E-06,20.9726,1.895E-06,20.9519,1.887E-06,20.9562
3.6225,1.860E-06,20.9722,1.860E-06,20.9722,1.862E-06,20.9710,1.863E-06,20.9703
3.6855,1.797E-06,21.0092,1.837E-06,20.9855,1.851E-06,20.9772,1.856E-06,20.9744
3.7485,1.774E-06,21.0237,1.801E-06,21.0068,1.868E-06,20.9677,1.857E-06,20.9738
3.8115,1.798E-06,21.0091,1.796E-06,21.0099,1.877E-06,20.9622,1.840E-06,20.9836
3.8745,1.814E-06,20.9992,1.822E-06,20.9942,1.884E-06,20.9581,1.826E-06,20.9921
3.9375,1.824E-06,20.9933,1.842E-06,20.9829,1.892E-06,20.9535,1.838E-06,20.9851
4.0005,1.817E-06,20.9974,1.848E-06,20.9791,1.883E-06,20.9586,1.835E-06,20.9870
4.0635,1.805E-06,21.0046,1.861E-06,20.9717,1.862E-06,20.9710,1.796E-06,21.0104
4.1265,1.800E-06,21.0079,1.854E-06,20.9758,1.819E-06,20.9963,1.754E-06,21.0360
4.1895,1.789E-06,21.0141,1.800E-06,21.0078,1.766E-06,21.0283,1.749E-06,21.0388
4.2525,1.755E-06,21.0352,1.755E-06,21.0349,1.758E-06,21.0334,1.769E-06,21.0267
4.3155,1.715E-06,21.0599,1.759E-06,21.0325,1.773E-06,21.0238,1.753E-06,21.0366
4.3785,1.735E-06,21.0478,1.756E-06,21.0343,1.764E-06,21.0293,1.732E-06,21.0497
4.4415,1.764E-06,21.0296,1.705E-06,21.0666,1.734E-06,21.0483,1.745E-06,21.0413
4.5045,1.743E-06,21.0429,1.658E-06,21.0970,1.700E-06,21.0699,1.772E-06,21.0246
4.5675,1.709E-06,21.0643,1.636E-06,21.1112,1.679E-06,21.0831,1.769E-06,21.0265
4.6305,1.692E-06,21.0746,1.631E-06,21.1144,1.679E-06,21.0834,1.747E-06,21.0402
4.6935,1.695E-06,21.0732,1.638E-06,21.1100,1.673E-06,21.0868,1.721E-06,21.0564
4.7565,1.732E-06,21.0492,1.656E-06,21.0985,1.653E-06,21.1004,1.695E-06,21.0731
4.8195,1.756E-06,21.0343,1.668E-06,21.0906,1.658E-06,21.0971,1.679E-06,21.0835
4.8825,1.736E-06,21.0469,1.680E-06,21.0827,1.696E-06,21.0720,1.666E-06,21.0918
4.9455,1.684E-06,21.0799,1.706E-06,21.0661,1.721E-06,21.0561,1.666E-06,21.0914
5.0085,1.641E-06,21.1084,1.755E-06,21.0351,1.722E-06,21.0556,1.698E-06,21.0712
5.0715,1.635E-06,21.1119,1.793E-06,21.0121,1.723E-06,21.0554,1.716E-06,21.0594
5.1345,1.637E-06,21.1105,1.791E-06,21.0131,1.725E-06,21.0536,1.708E-06,21.0643
5.1975,1.644E-06,21.1064,1.792E-06,21.0127,1.725E-06,21.0538,1.720E-06,21.0569
5.2605,1.681E-06,21.0821,1.768E-06,21.0270,1.735E-06,21.0476,1.730E-06,21.0508
5.3235,1.710E-06,21.0633,1.724E-06,21.0548,1.745E-06,21.0411,1.696E-06,21.0721
5.3865,1.698E-06,21.0711,1.694E-06,21.0734,1.744E-06,21.0417,1.658E-06,21.0967
5.4495,1.669E-06,21.0898,1.669E-06,21.0897,1.732E-06,21.0493,1.641E-06,21.1081
5.5125,1.668E-06,21.0903,1.665E-06,21.0923,1.708E-06,21.0644,1.663E-06,21.0938
5.5755,1.687E-06,21.0783,1.675E-06,21.0857,1.690E-06,21.0764,1.700E-06,21.0698
5.6385,1.690E-06,21.0764,1.692E-06,21.0751,1.677E-06,21.0846,1.706E-06,21.0660
5.7015,1.678E-06,21.0837,1.697E-06,21.0720,1.681E-06,21.0818,1.690E-06,21.0759
5.7645,1.667E-06,21.0911,1.667E-06,21.0909,1.691E-06,21.0753,1.700E-06,21.0698
5.8275,1.656E-06,21.0980,1.655E-06,21.0989,1.685E-06,21.0795,1.720E-06,21.0568
5.8905,1.658E-06,21.0968,1.685E-06,21.0794,1.671E-06,21.0881,1.727E-06,21.0529
5.9535,1.686E-06,21.0790,1.687E-06,21.0780,1.662E-06,21.0940,1.717E-06,21.0592
6.0165,1.691E-06,21.0753,1.662E-06,21.0945,1.666E-06,21.0915,1.694E-06,21.0733
6.0795,1.689E-06,21.0767,1.687E-06,21.0778,1.690E-06,21.0762,1.675E-06,21.0859
6.1425,1.697E-06,21.0716,1.713E-06,21.0613,1.691E-06,21.0756,1.657E-06,21.0972
6.2055,1.699E-06,21.0701,1.697E-06,21.0716,1.658E-06,21.0969,1.663E-06,21.0937
6.2685,1.700E-06,21.0698,1.705E-06,21.0666,1.642E-06,21.1077,1.666E-06,21.0915
6.3315,1.683E-06,21.0809,1.722E-06,21.0557,1.668E-06,21.0902,1.652E-06,21.1006
6.3945,1.663E-06,21.0936,1.703E-06,21.0678,1.713E-06,21.0617,1.663E-06,21.0938
6.4575,1.676E-06,21.0853,1.661E-06,21.0948,1.733E-06,21.0486,1.697E-06,21.0719
6.5205,1.708E-06,21.0646,1.627E-06,21.1174,1.710E-06,21.0633,1.716E-06,21.0597
6.5835,1.721E-06,21.0564,1.607E-06,21.1309,1.686E-06,21.0784,1.700E-06,21.0695
6.6465,1.705E-06,21.0667,1.614E-06,21.1262,1.680E-06,21.0823,1.654E-06,21.0993
6.7095,1.687E-06,21.0783,1.638E-06,21.1100,1.671E-06,21.0887,1.631E-06,21.1145
6.7725,1.657E-06,21.0972,1.666E-06,21.0918,1.660E-06,21.0959,1.649E-06,21.1029
6.8355,1.642E-06,21.1075,1.685E-06,21.0795,1.667E-06,21.0911,1.651E-06,21.1014
6.8985,1.637E-06,21.1109,1.686E-06,21.0785,1.654E-06,21.0993,1.636E-06,21.1111
6.9615,1.632E-06,21.1140,1.679E-06,21.0835,1.605E-06,21.1319,1.630E-06,21.1157
