Arcsec,Contr_0nm,Sen_0nm,Contr_2nm,Sen_2nm,Contr_5nm,Sen_5nm,Contr_10nm,Sen_10nm
1.5435,5.612E-06,19.7731,5.799E-06,19.7374,6.059E-06,19.6899,7.918E-06,19.3993
1.6065,5.592E-06,19.7770,5.606E-06,19.7742,5.793E-06,19.7385,7.417E-06,19.4703
1.6695,5.207E-06,19.8544,5.210E-06,19.8537,5.392E-06,19.8164,6.787E-06,19.5666
1.7325,4.653E-06,19.9765,4.824E-06,19.9374,5.003E-06,19.8977,5.744E-06,19.7477
1.7955,4.327E-06,20.0554,4.546E-06,20.0018,4.720E-06,19.9609,5.025E-06,19.8929
1.8585,4.217E-06,20.0834,4.221E-06,20.0822,4.525E-06,20.0068,4.543E-06,20.0025
1.9215,4.129E-06,20.1063,3.954E-06,20.1532,4.281E-06,20.0669,4.186E-06,20.0914
1.9845,4.015E-06,20.1367,3.829E-06,20.1882,3.969E-06,20.1492,4.173E-06,20.0948
2.0475,3.841E-06,20.1847,3.730E-06,20.2167,3.667E-06,20.2351,4.187E-06,20.0910
2.1105,3.549E-06,20.2705,3.543E-06,20.2723,3.466E-06,20.2963,3.882E-06,20.1733
2.1735,3.234E-06,20.3715,3.271E-06,20.3592,3.369E-06,20.3270,3.540E-06,20.2735
2.2365,3.001E-06,20.4525,3.025E-06,20.4439,3.266E-06,20.3608,3.356E-06,20.3312
2.2995,2.790E-06,20.5317,2.822E-06,20.5193,3.085E-06,20.4229,3.195E-06,20.3848
2.3625,2.610E-06,20.6041,2.666E-06,20.5814,2.849E-06,20.5089,3.014E-06,20.4481
2.4255,2.512E-06,20.6457,2.525E-06,20.6404,2.596E-06,20.6101,2.744E-06,20.5498
2.4885,2.426E-06,20.6838,2.365E-06,20.7114,2.395E-06,20.6974,2.420E-06,20.6861
2.5515,2.297E-06,20.7428,2.210E-06,20.7848,2.274E-06,20.7538,2.251E-06,20.7647
2.6145,2.181E-06,20.7994,2.104E-06,20.8385,2.215E-06,20.7822,2.233E-06,20.7737
