Wavelength FWHM_det FWHM_over Res_det Res_over
2.0 2.156 1.162 935.977 1737.444
2.1 2.147 1.218 987.015 1740.266
2.2 2.141 1.274 1036.996 1742.787
2.3 2.138 1.330 1085.727 1745.045
2.4 2.138 1.386 1133.031 1747.075
2.5 2.140 1.443 1178.747 1748.903
2.6 2.146 1.499 1222.733 1750.554
2.7 2.154 1.555 1264.866 1752.048
2.8 2.165 1.611 1305.046 1753.402
2.9 2.179 1.668 1343.192 1754.632
3.0 2.195 1.724 1379.248 1755.750
3.1 2.214 1.781 1413.173 1756.769
3.2 2.235 1.837 1444.949 1757.699
3.3 2.258 1.894 1474.577 1758.547
3.4 2.284 1.950 1502.072 1759.323
3.5 2.312 2.007 1527.467 1760.033
3.6 2.343 2.063 1550.808 1760.684
3.7 2.375 2.120 1572.151 1761.281
3.8 2.409 2.177 1591.563 1761.830
3.9 2.446 2.233 1609.120 1762.334
4.0 2.484 2.290 1624.905 1762.798
4.1 2.524 2.347 1639.003 1763.225
4.2 2.566 2.403 1651.505 1763.619
4.3 2.610 2.460 1662.504 1763.983
4.4 2.655 2.517 1672.094 1764.320
4.5 2.702 2.573 1680.368 1764.631
4.6 2.751 2.630 1687.419 1764.921
4.7 2.801 2.687 1693.338 1765.189
4.8 2.852 2.744 1698.214 1765.440
4.9 2.905 2.800 1702.134 1765.673
5.0 2.959 2.857 1705.181 1765.891
5.1 3.014 2.914 1707.434 1766.096
5.2 3.071 2.971 1708.969 1766.289
5.3 3.128 3.028 1709.861 1766.471
5.4 3.186 3.085 1710.176 1766.643
5.5 3.246 3.141 1709.980 1766.806
5.6 3.306 3.198 1709.335 1766.962
5.7 3.367 3.255 1708.298 1767.112
5.8 3.429 3.312 1706.923 1767.255
5.9 3.491 3.369 1705.260 1767.394
6.0 3.555 3.426 1703.357 1767.529
