Wavelength FWHM_det FWHM_over Res_det Res_over
2.0 2.152 1.188 932.366 1688.761
2.1 2.151 1.245 979.534 1692.038
2.2 2.152 1.302 1025.690 1694.914
2.3 2.155 1.359 1070.701 1697.445
2.4 2.160 1.416 1114.441 1699.677
2.5 2.168 1.474 1156.795 1701.650
2.6 2.178 1.531 1197.658 1703.396
2.7 2.190 1.589 1236.938 1704.944
2.8 2.204 1.646 1274.554 1706.319
2.9 2.220 1.704 1310.438 1707.543
3.0 2.238 1.761 1344.535 1708.634
3.1 2.259 1.819 1376.802 1709.608
3.2 2.281 1.877 1407.209 1710.480
3.3 2.306 1.934 1435.738 1711.263
3.4 2.332 1.992 1462.383 1711.967
3.5 2.361 2.050 1487.146 1712.603
3.6 2.391 2.108 1510.043 1713.180
3.7 2.424 2.166 1531.097 1713.705
3.8 2.459 2.224 1550.339 1714.186
3.9 2.495 2.282 1567.809 1714.629
4.0 2.534 2.340 1583.552 1715.039
4.1 2.574 2.398 1597.620 1715.423
4.2 2.617 2.455 1610.068 1715.785
4.3 2.661 2.513 1620.956 1716.129
4.4 2.707 2.571 1630.347 1716.458
4.5 2.755 2.629 1638.307 1716.778
4.6 2.805 2.687 1644.901 1717.090
4.7 2.857 2.745 1650.198 1717.398
4.8 2.911 2.803 1654.265 1717.705
4.9 2.966 2.861 1657.170 1718.013
5.0 3.023 2.919 1658.980 1718.325
5.1 3.082 2.977 1659.761 1718.642
5.2 3.143 3.035 1659.578 1718.966
5.3 3.206 3.092 1658.495 1719.300
5.4 3.270 3.150 1656.571 1719.646
5.5 3.336 3.208 1653.867 1720.004
5.6 3.404 3.265 1650.439 1720.376
5.7 3.473 3.323 1646.343 1720.764
5.8 3.544 3.380 1641.630 1721.169
5.9 3.617 3.438 1636.350 1721.592
6.0 3.691 3.495 1630.550 1722.034
